"Cluster"	"Ensembl.Code"	"MGI.Symbol"	"Type.Restricted"	"Mean.Outside.Cluster"	"Mean.Inside.Cluster"	"Factor.Difference"	"P.Value"	"Adjusted.P.Value"	"Chromosome"	"Annotation"
"1"	"ENSMUSG00000068122"	"Agtr2"	"TRE"	0.233518946587212	1.53225107576369	6.56157069118773	0	0	"X"	"angiotensin II receptor, type 2 [Source:MGI Symbol;Acc:MGI:87966]"
"1"	"ENSMUSG00000029661"	"Col1a2"	"TRE+NRE"	3.97835080850635	13.9391075398761	3.5037401704425	0	0	"6"	"collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]"
"1"	"ENSMUSG00000040856"	"Dlk1"	"TRE"	0.400140898396126	6.25051113680584	15.6207754864839	0	0	"12"	"delta like non-canonical Notch ligand 1 [Source:MGI Symbol;Acc:MGI:94900]"
"1"	"ENSMUSG00000040856"	"Dlk1"	"TRE"	0.400140898396126	6.25051113680584	15.6207754864839	0	0	"CHR_MG4180_PATCH"	"delta like non-canonical Notch ligand 1 [Source:MGI Symbol;Acc:MGI:94900]"
"1"	"ENSMUSG00000055653"	"Gpc3"	"TRE"	0.185656372534291	1.21357508683934	6.53667348054641	0	0	"X"	"glypican 3 [Source:MGI Symbol;Acc:MGI:104903]"
"1"	"ENSMUSG00000029838"	"Ptn"	"TRE+NRE"	0.587133698702481	2.42406438094753	4.12864120438755	0	0	"6"	"pleiotrophin [Source:MGI Symbol;Acc:MGI:97804]"
"1"	"ENSMUSG00000019817"	"Plagl1"	"TRE+NRE"	0.153453487742717	0.849229907795424	5.5341192975637	3.20054640525878e-84	1.82381905924285e-81	"10"	"pleiomorphic adenoma gene-like 1 [Source:MGI Symbol;Acc:MGI:1100874]"
"1"	"ENSMUSG00000022816"	"Fstl1"	"TRE+NRE"	0.961136601935616	2.61421042307206	2.71991558515964	1.65557327853647e-63	7.66530427962384e-61	"16"	"follistatin-like 1 [Source:MGI Symbol;Acc:MGI:102793]"
"1"	"ENSMUSG00000039911"	"Spsb1"	"TRE+NRE"	0.264494588280489	0.888423551456141	3.35894793625794	1.53850428849692e-52	5.99854724693956e-50	"4"	"splA/ryanodine receptor domain and SOCS box containing 1 [Source:MGI Symbol;Acc:MGI:1921896]"
"1"	"ENSMUSG00000040152"	"Thbs1"	"TRE+NRE"	1.14313967036194	2.60463062735016	2.27848853021213	1.20706438640121e-43	4.064514988391e-41	"2"	"thrombospondin 1 [Source:MGI Symbol;Acc:MGI:98737]"
"1"	"ENSMUSG00000026837"	"Col5a1"	"TRE+NRE"	0.514100885067942	1.29465015037624	2.51828033753559	7.91037139646671e-43	2.54782744804458e-40	"2"	"collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]"
"1"	"ENSMUSG00000090698"	"Apold1"	"TRE"	0.655148370251618	0.147991822003207	0.22589054437603	7.64756878450338e-36	2.17896882906158e-33	"6"	"apolipoprotein L domain containing 1 [Source:MGI Symbol;Acc:MGI:2685921]"
"1"	"ENSMUSG00000021614"	"Vcan"	"TRE"	0.137808489090452	0.509059936092845	3.69396645629513	1.69862697699204e-34	4.66052912798408e-32	"13"	"versican [Source:MGI Symbol;Acc:MGI:102889]"
"1"	"ENSMUSG00000053475"	"Tnfaip6"	"TRE"	0.487231739511937	1.11501630958622	2.28847223849402	2.5616373005714e-33	6.32553637421097e-31	"2"	"tumor necrosis factor alpha induced protein 6 [Source:MGI Symbol;Acc:MGI:1195266]"
"1"	"ENSMUSG00000002266"	"Zim1"	"TRE"	0.119748415376824	0.456961789166133	3.81601533288076	1.62880568114079e-32	3.89232015673903e-30	"7"	"zinc finger, imprinted 1 [Source:MGI Symbol;Acc:MGI:1341879]"
"1"	"ENSMUSG00000022425"	"Enpp2"	"TRE+NRE"	1.76930587530832	0.733142463171371	0.414367280074517	4.19670927175214e-32	9.42097645004239e-30	"15"	"ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:MGI Symbol;Acc:MGI:1321390]"
"1"	"ENSMUSG00000026042"	"Col5a2"	"TRE+NRE"	0.351430447268006	0.843406759866793	2.3999251243692	1.19077993216463e-29	2.38413452364204e-27	"1"	"collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]"
"1"	"ENSMUSG00000071713"	"Csf2rb"	"TRE"	0.798176429098786	0.334945081405162	0.419637901088292	1.79429975315979e-22	2.88960273291473e-20	"15"	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339759]"
"1"	"ENSMUSG00000031765"	"Mt1"	"TRE+NRE"	0.525445783894236	1.02377457732032	1.94839241021751	3.0919045766295e-22	4.67445491911661e-20	"8"	"metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171]"
"1"	"ENSMUSG00000059291"	"Rpl11"	"TRE+NRE"	0.735660215802813	1.36670689782654	1.85779639630924	5.32812074290261e-21	7.44730537045708e-19	"4"	"ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:1914275]"
"1"	"ENSMUSG00000027435"	"Cd93"	"TRE+NRE"	0.411218398312903	0.110219896745896	0.268032503404742	1.52713625173927e-20	1.98474128997974e-18	"2"	"CD93 antigen [Source:MGI Symbol;Acc:MGI:106664]"
"1"	"ENSMUSG00000060572"	"Mfap2"	"TRE"	0.195323349624342	0.485449739308779	2.4853646030668	5.29772486642302e-19	6.22945171594631e-17	"4"	"microfibrillar-associated protein 2 [Source:MGI Symbol;Acc:MGI:99559]"
"1"	"ENSMUSG00000032487"	"Ptgs2"	"TRE"	0.499199712013352	0.177284807024677	0.35513803946252	3.82740749147264e-18	4.16962274953372e-16	"1"	"prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]"
"1"	"ENSMUSG00000071714"	"Csf2rb2"	"TRE"	0.38463048274911	0.114655245259995	0.298091936033015	4.35871233955453e-17	4.5477945086507e-15	"15"	"colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339760]"
"1"	"ENSMUSG00000020176"	"Grb10"	"TRE+NRE"	0.24747548560084	0.545649514206804	2.20486288927581	6.37437943587575e-17	6.46868532342021e-15	"11"	"growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]"
"1"	"ENSMUSG00000061787"	"Rps17"	"TRE+NRE"	0.965393471488236	1.60600992592879	1.66358067809697	1.417999666931e-15	1.20741856696837e-13	"7"	"ribosomal protein S17 [Source:MGI Symbol;Acc:MGI:1309526]"
"1"	"ENSMUSG00000024140"	"Epas1"	"TRE+NRE"	0.75561660788697	0.377078314989152	0.499033916212649	1.85677958826439e-15	1.56307081702984e-13	"17"	"endothelial PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109169]"
"1"	"ENSMUSG00000067276"	"Capn6"	"TRE"	0.118289177716736	0.321373189976241	2.71684355390334	8.05261469624732e-15	6.21393434060418e-13	"X"	"calpain 6 [Source:MGI Symbol;Acc:MGI:1100850]"
"1"	"ENSMUSG00000022491"	"Glycam1"	"TRE"	0.336841996703063	0.104145548011812	0.30918219530571	1.33271661968699e-14	9.97248961478908e-13	"15"	"glycosylation dependent cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:95759]"
"1"	"ENSMUSG00000022367"	"Has2"	"TRE"	0.192873228391717	0.426268870048078	2.21009869333625	9.22518003027826e-14	6.2127394240274e-12	"15"	"hyaluronan synthase 2 [Source:MGI Symbol;Acc:MGI:107821]"
"1"	"ENSMUSG00000037868"	"Egr2"	"TRE+NRE"	0.264005768362664	0.530544228482513	2.00959331977059	1.1131905678632e-13	7.429293447505e-12	"10"	"early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]"
"1"	"ENSMUSG00000037868"	"Egr2"	"TRE+NRE"	0.264005768362664	0.530544228482513	2.00959331977059	1.1131905678632e-13	7.429293447505e-12	"CHR_MG3530_PATCH"	"early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]"
"1"	"ENSMUSG00000029371"	"Cxcl5"	"TRE"	0.208099694822765	0.429695242503382	2.06485282388014	4.20049734973586e-12	2.375365218843e-10	"5"	"chemokine (C-X-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:1096868]"
"1"	"ENSMUSG00000020717"	"Pecam1"	"TRE"	0.317465968382447	0.114697993495857	0.36129224836371	1.18186145828161e-11	6.43766888452221e-10	"11"	"platelet/endothelial cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97537]"
"1"	"ENSMUSG00000020027"	"Socs2"	"TRE+NRE"	0.203547028882293	0.418903411172582	2.05801781275238	1.57248225352932e-11	8.50288214171181e-10	"10"	"suppressor of cytokine signaling 2 [Source:MGI Symbol;Acc:MGI:1201787]"
"1"	"ENSMUSG00000008683"	"Rps15a"	"TRE+NRE"	0.631032981729973	1.00269178918083	1.58896891004326	2.45011917138718e-11	1.2964630586883e-09	"7"	"ribosomal protein S15A [Source:MGI Symbol;Acc:MGI:2389091]"
"1"	"ENSMUSG00000030787"	"Lyve1"	"TRE"	0.292782528155755	0.105786668064841	0.361314825482225	6.06054265671491e-11	3.07510273979069e-09	"7"	"lymphatic vessel endothelial hyaluronan receptor 1 [Source:MGI Symbol;Acc:MGI:2136348]"
"1"	"ENSMUSG00000003617"	"Cp"	"TRE+NRE"	0.567914600691962	0.298948749907076	0.52639736598219	1.04716834755516e-10	5.24150210722206e-09	"3"	"ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]"
