"ensembl_gene_id"	"mean.ncl"	"mean.cl"	"fc"	"pv"	"padj"	"mgi_symbol"	"chromosome_name"	"description"	"Ensembl ID"	"GNF GeneAtlas Specificity"	"calculated FPKMs"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"CuffDiff FPKMs"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"Cluster"
"ENSMUSG00000054555"	0.263396649654769	0.384025919688795	1.45797571909944	0.00243182488046568	0.0387365842128458	"Adam12"	"7"	"a disintegrin and metallopeptidase domain 12 (meltrin alpha) [Source:MGI Symbol;Acc:MGI:105378]"	"ENSMUSG00000054555"	"TRE"	"0.573593474"	"7.064117684"	"1.485530031"	"10.2022301"	"19.08743798"	"11.75397027"	"19.11810574"	"0.782687"	"7.23074"	"1.42975"	"10.3552"	"19.2457"	"11.7888"	"19.7737"	"1"
"ENSMUSG00000006403"	0.251823458340275	0.355967119027849	1.41355821802292	0.00600353362831806	0.0822387102047878	"Adamts4"	"1"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4 [Source:MGI Symbol;Acc:MGI:1339949]"	"ENSMUSG00000006403"	"TRE"	"2.168903729"	"2.026637199"	"0.766468427"	"2.484707328"	"3.408835283"	"2.711457998"	"3.235344111"	"2.29693"	"2.1123"	"0.768525"	"2.57288"	"3.37251"	"2.70921"	"3.17096"	"1"
"ENSMUSG00000068122"	0.277261198230431	1.44677748664651	5.21810298693185	0	0	"Agtr2"	"X"	"angiotensin II receptor, type 2 [Source:MGI Symbol;Acc:MGI:87966]"	"ENSMUSG00000068122"	"TRE"	"0.016529078"	"1.462661677"	"0.00650092"	"2.080673463"	"0.008709747"	"0.82050037"	"0.004228904"	"0.017299"	"1.41582"	"0.00637194"	"2.06243"	"0.00743094"	"0.78691"	"0.00411864"	"1"
"ENSMUSG00000090698"	0.637473181422627	0.140133881314712	0.219827100807567	1.71899724168222e-25	5.04459575155205e-23	"Apold1"	"6"	"apolipoprotein L domain containing 1 [Source:MGI Symbol;Acc:MGI:2685921]"	"ENSMUSG00000090698"	"TRE"	"0.400547035"	"0.869404042"	"0.180511929"	"0.921939675"	"0.232334321"	"0.56543957"	"0.231651322"	"0.3994"	"0.856845"	"0.152104"	"0.916343"	"0.20012"	"0.541871"	"0.210747"	"1"
"ENSMUSG00000025372"	0.13324101239744	0.223128239954908	1.67462131921773	0.00216100439672525	0.0353072024561321	"Baiap2"	"11"	"brain-specific angiogenesis inhibitor 1-associated protein 2 [Source:MGI Symbol;Acc:MGI:2137336]"	"ENSMUSG00000025372"	"TRE"	"23.08533522"	"12.59919684"	"5.956891285"	"11.87358334"	"11.14033005"	"15.62277185"	"11.99555918"	"32.9498"	"17.7161"	"8.19763"	"16.6737"	"15.1051"	"21.4092"	"16.3151"	"1"
"ENSMUSG00000067276"	0.121229555423284	0.37411537723504	3.08600799474007	4.15707610893844e-15	5.28641511853338e-13	"Capn6"	"X"	"calpain 6 [Source:MGI Symbol;Acc:MGI:1100850]"	"ENSMUSG00000067276"	"TRE"	"1.439359948"	"2.038847295"	"3.067327195"	"1.418469457"	"0.199253925"	"0.801744279"	"0.156930368"	"1.28572"	"1.78453"	"2.67721"	"1.22553"	"0.0361829"	"0.627118"	"0.0496576"	"1"
"ENSMUSG00000035373"	0.762315187699083	1.11936124604139	1.46837064786809	4.5572491447772e-06	0.000149235240234549	"Ccl7"	"11"	"chemokine (C-C motif) ligand 7 [Source:MGI Symbol;Acc:MGI:99512]"	"ENSMUSG00000035373"	"TRE"	"2.01884626"	"7.904785217"	"5.275678992"	"9.443560188"	"3.302065144"	"8.605562861"	"5.563795938"	"1.88317"	"7.32188"	"4.6204"	"8.54522"	"2.98395"	"7.68158"	"4.76614"	"1"
"ENSMUSG00000056481"	0.144828666359192	0.233818283307737	1.6144475343565	0.00430225453440855	0.0624072283223141	"Cd248"	"19"	"CD248 antigen, endosialin [Source:MGI Symbol;Acc:MGI:1917695]"	"ENSMUSG00000056481"	"TRE"	"0.101746803"	"1.191017827"	"0.045853069"	"1.69334497"	"0.005584785"	"1.13493547"	"0.005423239"	"0.108004"	"1.20905"	"0.0448722"	"1.72484"	"0.00625436"	"1.12158"	"0.00533317"	"1"
"ENSMUSG00000017309"	0.200203328043012	0.101885041661946	0.508907832141815	0.00115462643709802	0.0204403705685799	"Cd300lg"	"11"	"CD300 molecule like family member G [Source:MGI Symbol;Acc:MGI:1289168]"	"ENSMUSG00000017309"	"TRE"	"0.242371189"	"0.710727352"	"0.184832743"	"0.748209958"	"0.147055958"	"0.400145222"	"0.08735041"	"0.255977"	"0.728538"	"0.150282"	"0.832456"	"0.101092"	"0.447354"	"0.063379"	"1"
"ENSMUSG00000031871"	0.202944100198752	0.106051933936872	0.522567218426209	0.00168296509299046	0.0288562329427353	"Cdh5"	"8"	"cadherin 5 [Source:MGI Symbol;Acc:MGI:105057]"	"ENSMUSG00000031871"	"TRE"	"0.716090561"	"0.938170342"	"0.165985476"	"1.356687663"	"0.082496774"	"0.746616199"	"0.118424156"	"0.702297"	"0.861707"	"0.142086"	"1.26515"	"0.0797607"	"0.650454"	"0.102196"	"1"
"ENSMUSG00000045930"	0.207286577484396	0.116720839470812	0.563089230799799	0.0042176345474174	0.0615306913896649	"Clec14a"	"12"	"C-type lectin domain family 14, member a [Source:MGI Symbol;Acc:MGI:1914114]"	"ENSMUSG00000045930"	"TRE"	"0.047821072"	"0.079578375"	"0.089338593"	"0.103704713"	"0.018898942"	"0.051830332"	"0.006117423"	"0.0514753"	"0.0810122"	"0.0872452"	"0.104927"	"0.0169642"	"0.0511953"	"0.00598687"	"1"
"ENSMUSG00000063564"	0.134943051186762	0.209076297458379	1.54936690418402	0.00771930834946638	0.100509083116772	"Col23a1"	"11"	"collagen, type XXIII, alpha 1 [Source:MGI Symbol;Acc:MGI:2653243]"	"ENSMUSG00000063564"	"TRE"	"0.641416387"	"1.173004073"	"0.390684197"	"1.67752868"	"0.087237925"	"1.318608927"	"0.08688275"	"0.716841"	"1.93753"	"0.311614"	"2.58701"	"0.170877"	"1.81721"	"0.110189"	"1"
"ENSMUSG00000014599"	0.288300346365928	0.411256494303106	1.42648629974629	0.00239428609012927	0.03829853850668	"Csf1"	"3"	"colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753]"	"ENSMUSG00000014599"	"TRE"	"10.53688574"	"13.24068839"	"16.67150128"	"13.23416549"	"11.8856592"	"16.39661399"	"13.28568545"	"17.0965"	"22.0099"	"26.2483"	"23.2857"	"18.6827"	"25.9159"	"20.4203"	"1"
"ENSMUSG00000071713"	0.777324190354081	0.391027559015383	0.503043085327455	5.60224257434872e-11	4.31768796386674e-09	"Csf2rb"	"15"	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339759]"	"ENSMUSG00000071713"	"TRE"	"0.429351809"	"38.68131468"	"19.1939469"	"38.89959072"	"34.8535784"	"48.69322803"	"41.33185312"	"0.375039"	"31.9365"	"15.1494"	"31.1208"	"26.4716"	"37.4945"	"31.0758"	"1"
"ENSMUSG00000071714"	0.37562966688389	0.113650586713428	0.302560198868844	1.85899368183366e-11	1.55869470246053e-09	"Csf2rb2"	"15"	"colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339760]"	"ENSMUSG00000071714"	"TRE"	"0.436720764"	"24.48356122"	"12.97613914"	"29.50111425"	"24.68863292"	"40.68110791"	"31.97882432"	"0.272588"	"15.8941"	"8.13436"	"19.5749"	"14.9017"	"26.8028"	"20.0453"	"1"
"ENSMUSG00000034855"	0.5683906394026	1.25876981737697	2.21462094924713	1.49165718586228e-21	3.07603900760248e-19	"Cxcl10"	"5"	"chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]"	"ENSMUSG00000034855"	"TRE"	"463.4500557"	"297.7347505"	"186.8439221"	"300.8862164"	"451.0010294"	"293.8793123"	"443.4767012"	"569.951"	"366.16"	"220.659"	"360.552"	"519.948"	"347.85"	"516.972"	"1"
"ENSMUSG00000023078"	0.990181374209289	1.31072294663611	1.32372005854259	0.000847244388199537	0.0158443006910845	"Cxcl13"	"5"	"chemokine (C-X-C motif) ligand 13 [Source:MGI Symbol;Acc:MGI:1888499]"	"ENSMUSG00000023078"	"TRE"	"4.273250166"	"45.72540195"	"0.945324546"	"38.05298406"	"4.359747671"	"24.09689944"	"6.480539146"	"3.8989"	"42.6721"	"0.821829"	"35.389"	"3.8672"	"21.5006"	"5.58007"	"1"
"ENSMUSG00000058427"	0.414203795017338	0.263412463770658	0.635948938516202	0.000682931319970123	0.013191812585752	"Cxcl2"	"5"	"chemokine (C-X-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:1340094]"	"ENSMUSG00000058427"	"TRE"	"0.364731709"	"18.13287848"	"4.493008558"	"34.41386935"	"16.92598798"	"43.74446707"	"20.37762638"	"0.430236"	"26.415"	"5.32646"	"48.1716"	"23.0462"	"60.7559"	"27.2206"	"1"
"ENSMUSG00000029371"	0.217251972748313	0.399820749433759	1.84035497756769	2.2972889654054e-06	7.89563730001945e-05	"Cxcl5"	"5"	"chemokine (C-X-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:1096868]"	"ENSMUSG00000029371"	"TRE"	"0.480739015"	"5.392274692"	"2.708833277"	"5.515765935"	"0.626305272"	"4.732871318"	"1.101451848"	"0.375603"	"5.26575"	"2.40519"	"5.18337"	"0.508962"	"4.38715"	"0.904933"	"1"
