GENEID	X97	X99	X100	X103	X104	X105	X108	X109	X110	X111	X113	X114	X115	X116	X117	X118	X119	X120	X122	X123	X124	X125	X127	X131	X132	X133	X134	X135	X137	X138	X141	X143	X144	X148	X149	X150	X152	X153	X154	X155	X156	X158	X159	X160	X163	X164	X165	X167	X168	X169	X170	X173	X175	X176	X178	X179	X180	X181	X182	X183	X184	X185	X187	X188	X189	X191	X192
1810059H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810013P06Rik	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	6.00439882750478	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0
2810474O19Rik	1.00012209018435	2.00048844025395	0	4.00195439749781	0	0	0	0	0	5.00305424361532	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	3.00109916954915	0	0	3.00109916954915	3.00109916954915	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	8.00782268745052	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	4.00195439749781	0	1.00012209018435	0	0	0	0	2.00048844025395	9.00990220315199	0
4930453N24Rik	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0
4933415A04Rik	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	5.00305424361532	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0
5730409E04Rik	0	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	3.00109916954915	2.00048844025395	0
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.1104026871881	0	0	0	0
9930111J21Rik1	3.00109916954915	6.00439882750478	9.00990220315199	9.00990220315199	4.00195439749781	0	10.0122269359159	31.1179048445245	8.00782268745052	11.0147970057849	0	7.00598826885697	1.00012209018435	12.0176125328898	6.00439882750478	1.00012209018435	7.00598826885697	7.00598826885697	9.00990220315199	0	3.00109916954915	6.00439882750478	4.00195439749781	0	6.00439882750478	2.00048844025395	15.0275330602518	6.00439882750478	5.00305424361532	1.00012209018435	4.00195439749781	5.00305424361532	6.00439882750478	9.00990220315199	8.00782268745052	9.00990220315199	33.1336529167031	2.00048844025395	0	6.00439882750478	0	2.00048844025395	8.00782268745052	4.00195439749781	4.00195439749781	5.00305424361532	0	6.00439882750478	4.00195439749781	0	6.00439882750478	8.00782268745052	4.00195439749781	11.0147970057849	3.00109916954915	2.00048844025395	5.00305424361532	6.00439882750478	14.0239804397716	2.00048844025395	6.00439882750478	0	11.0147970057849	10.0122269359159	5.00305424361532	5.00305424361532	2.00048844025395
A430073D23Rik	8.00782268745052	1.00012209018435	5.00305424361532	7.00598826885697	3.00109916954915	0	16.0313316193744	64.505270141498	6.00439882750478	9.00990220315199	0	2.00048844025395	0	17.0353762377124	3.00109916954915	6.00439882750478	10.0122269359159	6.00439882750478	12.0176125328898	4.00195439749781	5.00305424361532	3.00109916954915	9.00990220315199	1.00012209018435	9.00990220315199	1.00012209018435	8.00782268745052	6.00439882750478	3.00109916954915	2.00048844025395	1.00012209018435	5.00305424361532	12.0176125328898	8.00782268745052	4.00195439749781	7.00598826885697	21.0540177177831	3.00109916954915	0	1.00012209018435	0	6.00439882750478	8.00782268745052	6.00439882750478	2.00048844025395	6.00439882750478	0	8.00782268745052	6.00439882750478	3.00109916954915	4.00195439749781	4.00195439749781	8.00782268745052	9.00990220315199	3.00109916954915	5.00305424361532	3.00109916954915	3.00109916954915	10.0122269359159	5.00305424361532	6.00439882750478	0	10.0122269359159	2.00048844025395	3.00109916954915	5.00305424361532	1.00012209018435
A630001G21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0
