GENEID	X98	X99	X100	X102	X104	X105	X106	X107	X108	X109	X112	X113	X114	X115	X116	X117	X118	X124	X127	X130	X131	X132	X134	X136	X137	X140	X141	X143	X144	X145	X147	X150	X151	X153	X154	X158	X160	X165	X166	X167	X168	X169	X170	X171	X172	X175	X182	X183	X184	X185	X186	X187	X188	X190	X192
1700020I14Rik	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	7.00598826885697	0	0	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0
1810058I24Rik	0	1.00012209018435	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700029M09Rik	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700060E02Rik	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
2810474O19Rik	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	3.00109916954915	0	4.00195439749781	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	4.00195439749781	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0
4933411E06Rik	0	0	2.00048844025395	4.00195439749781	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	8.00782268745052	0	4.00195439749781	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	2.00048844025395	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395
4933415A04Rik	5.00305424361532	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	9.00990220315199	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	0	3.00109916954915
4933427J07Rik	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	5.00305424361532	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	3.00109916954915	3.00109916954915	0	0	3.00109916954915	0	0	2.00048844025395	0	0
5730508B09Rik	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	7.00598826885697	5.00305424361532	8.00782268745052	7.00598826885697	3.00109916954915	3.00109916954915	22.0592944438992	12.0176125328898	5.00305424361532	7.00598826885697	11.0147970057849	0	6.00439882750478	5.00305424361532	5.00305424361532	2.00048844025395	6.00439882750478	4.00195439749781	8.00782268745052	42.2168154415037	3.00109916954915	27.0893822675098	5.00305424361532	1.00012209018435	4.00195439749781	18.0396670359275	15.0275330602518	4.00195439749781	11.0147970057849	6.00439882750478	5.00305424361532	1.00012209018435	7.00598826885697	5.00305424361532	4.00195439749781	19.0442041347699	16.0313316193744	2.00048844025395	4.00195439749781	4.00195439749781	9.00990220315199	18.0396670359275	9.00990220315199	17.0353762377124	7.00598826885697	15.0275330602518	14.0239804397716	11.0147970057849	8.00782268745052	18.0396670359275	31.1179048445245	17.0353762377124	10.0122269359159	10.0122269359159	11.0147970057849
A430073D23Rik	11.0147970057849	7.00598826885697	4.00195439749781	15.0275330602518	9.00990220315199	2.00048844025395	13.0206736374495	25.0766058142306	3.00109916954915	4.00195439749781	15.0275330602518	0	14.0239804397716	0	4.00195439749781	2.00048844025395	13.0206736374495	1.00012209018435	12.0176125328898	41.2065798956254	8.00782268745052	33.1336529167031	4.00195439749781	2.00048844025395	4.00195439749781	15.0275330602518	15.0275330602518	6.00439882750478	14.0239804397716	8.00782268745052	7.00598826885697	1.00012209018435	9.00990220315199	5.00305424361532	6.00439882750478	17.0353762377124	17.0353762377124	5.00305424361532	3.00109916954915	3.00109916954915	25.0766058142306	15.0275330602518	16.0313316193744	20.048987655079	12.0176125328898	29.1031482864402	18.0396670359275	15.0275330602518	3.00109916954915	29.1031482864402	38.1773673823587	18.0396670359275	13.0206736374495	12.0176125328898	5.00305424361532
AI506816	0	2.00048844025395	0	1.00012209018435	0	0	4.00195439749781	0	0	0	0	0	0	1.00012209018435	1.00012209018435	4.00195439749781	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0
AI838599	0	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	0	6.00439882750478	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435	2.00048844025395	7.00598826885697	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	3.00109916954915	0	1.00012209018435	0	2.00048844025395	1.00012209018435	4.00195439749781	0	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	5.00305424361532	2.00048844025395	3.00109916954915	2.00048844025395	0
Abca1	0	1.00012209018435	5.00305424361532	0	0	0	0	0	4.00195439749781	1.00012209018435	0	0	0	0	1.00012209018435	3.00109916954915	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb10	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc9	0	0	1.00012209018435	0	0	0	3.00109916954915	0	1.00012209018435	3.00109916954915	0	0	0	0	9.00990220315199	3.00109916954915	4.00195439749781	6.00439882750478	0	0	0	0	0	3.00109916954915	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
