GENEID	X1	X3	X4	X5	X6	X7	X8	X10	X11	X13	X15	X16	X17	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X35	X36	X37	X38	X39	X40	X41	X43	X44	X45	X46	X47	X48	X50	X51	X52	X53	X54	X55	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X88	X90	X92	X93	X95
1190002N15Rik	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	6.00439882750478	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0
1700020I14Rik	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	0	0	0	0	7.00598826885697	1.00012209018435	0	0	2.00048844025395	0	5.00305424361532	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	3.00109916954915	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	0	0	2.00048844025395	0	3.00109916954915	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395
1700025G04Rik	1.00012209018435	0	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	0	2.00048844025395	2.00048844025395	0	5.00305424361532	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0
2010107E04Rik	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	2.00048844025395	6.00439882750478	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0
2810417H13Rik	0	0	0	0	11.0147970057849	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	5.00305424361532	0	2.00048844025395	0	0	0	15.0275330602518	0	0	0	0	0	2.00048844025395
2810474O19Rik	1.00012209018435	2.00048844025395	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	0	4.00195439749781	3.00109916954915	0	2.00048844025395	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	6.00439882750478	0	4.00195439749781	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	2.00048844025395	0	0	5.00305424361532	7.00598826885697	4.00195439749781	1.00012209018435	4.00195439749781	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	3.00109916954915	0	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915
2900026A02Rik	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	4.00195439749781	0	0
4932438A13Rik	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
4933411E06Rik	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0
5730508B09Rik	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	4.00195439749781	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	7.00598826885697	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	5.00305424361532
8430408G22Rik	0	0	0	0	0	0	19.0442041347699	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	9.00990220315199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	0	0	0	0	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	12.0176125328898	0	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	8.00782268745052	1.00012209018435	0	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	6.00439882750478	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395
A430073D23Rik	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	4.00195439749781	0	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	4.00195439749781	2.00048844025395	0	0	0	0	0	1.00012209018435	3.00109916954915	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	8.00782268745052	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	17.0353762377124	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	0
AI506816	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0
Abca1	1.00012209018435	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	6.00439882750478	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	3.00109916954915	0	0	0	3.00109916954915	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0
Abca8a	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	0	2.00048844025395	7.00598826885697	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	0	0	0	2.00048844025395	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0
Abcb10	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	8.00782268745052	0	0	0	0	3.00109916954915	2.00048844025395	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	3.00109916954915
