GENEID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X12	X13	X14	X15	X16	X20	X22	X23	X24	X25	X27	X28	X32	X33	X34	X35	X36	X37	X39	X41	X43	X44	X45	X46	X48	X49	X51	X52	X53	X54	X55	X56	X57	X59	X60	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X78	X79	X80	X81	X83	X84	X85	X86	X90	X91	X92	X93	X94	X96
1700020I14Rik	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	5.00305424361532	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	2.00048844025395	0	1.00012209018435	0	4.00195439749781	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	4.00195439749781	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0
1700025G04Rik	2.00048844025395	4.00195439749781	5.00305424361532	0	0	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	4.00195439749781	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0
2410006H16Rik	0	0	3.00109916954915	0	0	0	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	4.00195439749781	4.00195439749781	0	0	0	1.00012209018435	1.00012209018435	0	0	5.00305424361532	3.00109916954915	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0
2610001J05Rik	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0
2700094K13Rik	0	0	0	0	6.00439882750478	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0
2810417H13Rik	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900026A02Rik	0	0	2.00048844025395	0	5.00305424361532	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
4933427J07Rik	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0	0	0
8430408G22Rik	0	0	0	0	33.1336529167031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0313316193744	0	0	0	0	0	0	0
A430073D23Rik	1.00012209018435	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	0	3.00109916954915	0	0	0	0	7.00598826885697	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	3.00109916954915	0	2.00048844025395	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435
Aars	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0
Abca1	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435	1.00012209018435	2.00048844025395	3.00109916954915	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	3.00109916954915	1.00012209018435	3.00109916954915	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	0	0	1.00012209018435	4.00195439749781	0	2.00048844025395	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	0	0	1.00012209018435	0	0	0	0
