GENEID	X3	X5	X9	X12	X14	X15	X16	X18	X19	X20	X24	X25	X26	X28	X29	X30	X32	X33	X37	X38	X39	X40	X42	X43	X44	X45	X46	X48	X49	X50	X53	X54	X55	X57	X60	X61	X62	X63	X64	X65	X68	X69	X70	X71	X72	X76	X77	X78	X79	X80	X81	X83	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96
1110004F10Rik	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435	2.00048844025395	5.00305424361532	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	4.00195439749781	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0
1190002N15Rik	0	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0
1700025G04Rik	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	5.00305424361532	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435
2310036O22Rik	0	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	0	0	5.00305424361532	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0	0	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0
2410006H16Rik	1.00012209018435	6.00439882750478	0	1.00012209018435	0	0	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	0	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	0	0
2610203C20Rik	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	2.00048844025395	0	0	6.00439882750478	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	0	0
2610507B11Rik	0	3.00109916954915	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	5.00305424361532	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0
2700038G22Rik	0	0	1.00012209018435	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	1.00012209018435	0	0	6.00439882750478	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0
4632415L05Rik	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0
4632427E13Rik	0	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	7.00598826885697	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	3.00109916954915	0	0	0	0	0
