GENEID	X101	X102	X110	X111	X112	X113	X118	X120	X124	X125	X126	X127	X128	X133	X134	X135	X136	X138	X140	X143	X144	X151	X152	X157	X159	X160	X161	X165	X167	X168	X173	X175	X176	X179	X181	X184	X185	X187	X190	X192
1110004F10Rik	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	6.00439882750478	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	0	2.00048844025395	0	0	0	0	0	1.00012209018435
1110038B12Rik	2.00048844025395	0	2.00048844025395	4.00195439749781	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0
1600012H06Rik	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	5.00305424361532	0
1700025G04Rik	1.00012209018435	1.00012209018435	0	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0
1700034P13Rik	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0
1810011O10Rik	0	0	0	0	0	0	2.00048844025395	0	2.00048844025395	5.00305424361532	0	0	1.00012209018435	0	4.00195439749781	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0
1810041L15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0
1810058I24Rik	0	0	0	0	0	0	1.00012209018435	0	0	0	0	6.00439882750478	1.00012209018435	0	1.00012209018435	2.00048844025395	3.00109916954915	0	0	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435
2310036O22Rik	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435
2410006H16Rik	5.00305424361532	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395	0	4.00195439749781	0	2.00048844025395	1.00012209018435	1.00012209018435	4.00195439749781	0	2.00048844025395	8.00782268745052	2.00048844025395	3.00109916954915	0	1.00012209018435	0	0	9.00990220315199	6.00439882750478	4.00195439749781	3.00109916954915	1.00012209018435	0	0	2.00048844025395	0	0	4.00195439749781	0	2.00048844025395	3.00109916954915	8.00782268745052	0	4.00195439749781	1.00012209018435	1.00012209018435
