GENEID	X2	X12	X16	X19	X20	X22	X24	X26	X32	X34	X37	X39	X40	X42	X44	X47	X48	X54	X56	X60	X62	X63	X64	X68	X69	X70	X71	X72	X74	X76	X78	X79	X80	X84	X85	X86	X88	X93	X94	X95	X96
1110038B12Rik	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	3.00109916954915	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	0	5.00305424361532	0	0	0	0	4.00195439749781
1700025G04Rik	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	0	0	0	1.00012209018435	4.00195439749781	3.00109916954915	0	0	1.00012209018435	7.00598826885697
1700034P13Rik	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532
1810011O10Rik	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	1.00012209018435	4.00195439749781	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	4.00195439749781	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	9.00990220315199
1810058I24Rik	0	0	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	6.00439882750478	1.00012209018435	6.00439882750478	0	1.00012209018435	4.00195439749781	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	2.00048844025395	0
2410006H16Rik	2.00048844025395	0	0	7.00598826885697	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	0	2.00048844025395	2.00048844025395	6.00439882750478	3.00109916954915	1.00012209018435	0	3.00109916954915	2.00048844025395	1.00012209018435	6.00439882750478	0	0	0	2.00048844025395	0	0	0	1.00012209018435
2610203C20Rik	0	0	0	0	0	0	0	0	0	0	2.00048844025395	3.00109916954915	1.00012209018435	0	0	0	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	0	6.00439882750478	0	0	0	1.00012209018435	4.00195439749781	0	0	0	0	0	0
2700060E02Rik	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	7.00598826885697	2.00048844025395	3.00109916954915	0	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	3.00109916954915	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395
2810474O19Rik	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	2.00048844025395	0	0	8.00782268745052	8.00782268745052	0	0	1.00012209018435	0	0	1.00012209018435	0	0	6.00439882750478	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435
5430416N02Rik	0	0	3.00109916954915	1.00012209018435	5.00305424361532	1.00012209018435	0	4.00195439749781	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435
