GENEID	X7	X8	X13	X14	X15	X16	X21	X22	X23	X24	X29	X30	X31	X32	X40	X44	X47	X48	X49	X56	X63	X64	X65	X68	X71	X72	X76	X78	X79	X80	X87	X88	X94	X96
0610037L13Rik	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0
1110038B12Rik	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	2.00048844025395	0	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	5.00305424361532	0	2.00048844025395	0	0	7.00598826885697	0	0
1600012H06Rik	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0
1700020I14Rik	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	2.00048844025395	5.00305424361532	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0
1810011O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	8.00782268745052	0	0
1810013L24Rik	0	0	0	0	0	0	0	3.00109916954915	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	1.00012209018435	5.00305424361532	2.00048844025395	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435
2210418O10Rik	2.00048844025395	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	6.00439882750478	0	1.00012209018435	2.00048844025395	0	0
2310036O22Rik	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	6.00439882750478	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0
2410002F23Rik	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	2.00048844025395	3.00109916954915	0	0	0	0	0	3.00109916954915	2.00048844025395	2.00048844025395	0	0	0	0	0	2.00048844025395	1.00012209018435	0	6.00439882750478	0	0
2410006H16Rik	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	7.00598826885697	1.00012209018435	4.00195439749781	0	1.00012209018435	5.00305424361532	0	2.00048844025395	3.00109916954915	3.00109916954915	0	0	1.00012209018435	0	8.00782268745052	2.00048844025395	4.00195439749781	2.00048844025395	2.00048844025395	8.00782268745052	0	1.00012209018435
