GENEID	X104	X112	X118	X122	X128	X137	X168	X175	X189	X191
1190002N15Rik	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0	1.00012209018435
1500015O10Rik	0	0	15.0275330602518	0	0	0	0	0	0	0
1810058I24Rik	4.00195439749781	8.00782268745052	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0
9530068E07Rik	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	5.00305424361532	0	0	1.00012209018435
9930111J21Rik1	18.0396670359275	6.00439882750478	5.00305424361532	11.0147970057849	7.00598826885697	7.00598826885697	31.1179048445245	0	14.0239804397716	0
A430073D23Rik	54.3591168236642	13.0206736374495	11.0147970057849	44.2380343327527	12.0176125328898	27.0893822675098	110.476572008402	0	48.283466760365	0
AI314180	7.00598826885697	1.00012209018435	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	3.00109916954915	0
AI838599	3.00109916954915	3.00109916954915	1.00012209018435	3.00109916954915	3.00109916954915	5.00305424361532	5.00305424361532	0	3.00109916954915	0
Abca8a	3.00109916954915	6.00439882750478	0	0	3.00109916954915	0	6.00439882750478	0	0	4.00195439749781
Abcc9	4.00195439749781	6.00439882750478	12.0176125328898	0	6.00439882750478	0	9.00990220315199	0	5.00305424361532	3.00109916954915
Abhd4	2.00048844025395	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0
Abi3bp	0	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435	0	1.00012209018435	0
Ablim1	3.00109916954915	0	4.00195439749781	1.00012209018435	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435
Acot2	5.00305424361532	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0
Acta2	2.00048844025395	11.0147970057849	15.0275330602518	3.00109916954915	3.00109916954915	25.0766058142306	2.00048844025395	0	31.1179048445245	4.00195439749781
Actb	10.0122269359159	11.0147970057849	44.2380343327527	38.1773673823587	21.0540177177831	39.186855988824	45.2490179242113	9.00990220315199	15.0275330602518	2.00048844025395
Actg1	2.00048844025395	7.00598826885697	21.0540177177831	5.00305424361532	3.00109916954915	2.00048844025395	12.0176125328898	1.00012209018435	9.00990220315199	5.00305424361532
Actn1	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	5.00305424361532	3.00109916954915	1.00012209018435	0	2.00048844025395	0
Actn4	1.00012209018435	4.00195439749781	1.00012209018435	0	2.00048844025395	6.00439882750478	1.00012209018435	0	4.00195439749781	0
Adam12	8.00782268745052	4.00195439749781	7.00598826885697	0	3.00109916954915	2.00048844025395	6.00439882750478	0	2.00048844025395	0
Adamts1	20.048987655079	0	0	0	3.00109916954915	0	14.0239804397716	0	9.00990220315199	0
Adamts10	5.00305424361532	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	3.00109916954915	0
Adamts17	1.00012209018435	0	3.00109916954915	0	5.00305424361532	2.00048844025395	1.00012209018435	0	0	0
Adamts2	3.00109916954915	2.00048844025395	9.00990220315199	0	4.00195439749781	2.00048844025395	1.00012209018435	0	4.00195439749781	0
Adamts5	0	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435
Add1	0	9.00990220315199	2.00048844025395	0	1.00012209018435	1.00012209018435	6.00439882750478	0	1.00012209018435	0
Adgrl2	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0
Adh1	2.00048844025395	1.00012209018435	9.00990220315199	1.00012209018435	0	1.00012209018435	9.00990220315199	1.00012209018435	0	6.00439882750478
Adm	0	2.00048844025395	0	0	0	0	3.00109916954915	0	2.00048844025395	6.00439882750478
Adnp	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435
Adra2a	0	2.00048844025395	1.00012209018435	0	0	7.00598826885697	1.00012209018435	0	0	0
Aebp1	1.00012209018435	1.00012209018435	11.0147970057849	0	6.00439882750478	0	3.00109916954915	0	1.00012209018435	1.00012209018435
Aes	1.00012209018435	3.00109916954915	3.00109916954915	8.00782268745052	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	0	0
Agtr2	0	0	0	0	0	0	1.00012209018435	0	8.00782268745052	0
Ahcyl1	2.00048844025395	0	5.00305424361532	3.00109916954915	1.00012209018435	0	2.00048844025395	0	2.00048844025395	2.00048844025395
Ahnak	1.00012209018435	9.00990220315199	9.00990220315199	0	3.00109916954915	2.00048844025395	11.0147970057849	2.00048844025395	3.00109916954915	5.00305424361532
Akap12	0	2.00048844025395	0	0	3.00109916954915	0	0	0	5.00305424361532	0
Akr1a1	0	2.00048844025395	9.00990220315199	3.00109916954915	2.00048844025395	5.00305424361532	3.00109916954915	0	0	1.00012209018435
Aldh2	3.00109916954915	0	4.00195439749781	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	1.00012209018435
Aldoa	1.00012209018435	0	0	3.00109916954915	5.00305424361532	3.00109916954915	5.00305424361532	1.00012209018435	1.00012209018435	2.00048844025395
Amotl2	7.00598826885697	0	5.00305424361532	0	1.00012209018435	12.0176125328898	1.00012209018435	0	0	3.00109916954915
Anapc13	0	0	5.00305424361532	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435
Anapc5	2.00048844025395	4.00195439749781	2.00048844025395	5.00305424361532	6.00439882750478	2.00048844025395	3.00109916954915	0	0	0
Angpt2	0	6.00439882750478	0	0	0	0	3.00109916954915	0	4.00195439749781	0
Angptl2	2.00048844025395	5.00305424361532	2.00048844025395	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0
Angptl4	24.0705883708827	7.00598826885697	2.00048844025395	0	0	1.00012209018435	11.0147970057849	0	0	1.00012209018435
Ankle2	1.00012209018435	5.00305424361532	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0
Ankrd11	4.00195439749781	0	3.00109916954915	0	2.00048844025395	6.00439882750478	2.00048844025395	0	1.00012209018435	2.00048844025395
