GENEID	X110	X118	X121	X124	X125	X135	X149	X151	X152	X153	X191
9930111J21Rik1	11.0147970057849	12.0176125328898	11.0147970057849	11.0147970057849	0	3.00109916954915	2.00048844025395	0	1.00012209018435	1.00012209018435	2.00048844025395
A430073D23Rik	21.0540177177831	34.1418990756402	45.2490179242113	36.1591362501238	0	14.0239804397716	12.0176125328898	0	0	6.00439882750478	4.00195439749781
AI838599	1.00012209018435	3.00109916954915	1.00012209018435	5.00305424361532	0	0	0	0	0	0	0
Abca8a	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	0	3.00109916954915	6.00439882750478
Abcc9	5.00305424361532	2.00048844025395	5.00305424361532	8.00782268745052	8.00782268745052	0	7.00598826885697	1.00012209018435	1.00012209018435	5.00305424361532	0
Acta2	3.00109916954915	0	6.00439882750478	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	6.00439882750478
Actb	55.3726019210037	5.00305424361532	16.0313316193744	1.00012209018435	36.1591362501238	20.048987655079	2.00048844025395	21.0540177177831	20.048987655079	24.0705883708827	23.0648179545339
Actg1	27.0893822675098	0	3.00109916954915	1.00012209018435	3.00109916954915	13.0206736374495	0	2.00048844025395	4.00195439749781	8.00782268745052	4.00195439749781
Actn1	5.00305424361532	2.00048844025395	0	0	6.00439882750478	0	0	2.00048844025395	1.00012209018435	0	0
Adamts1	3.00109916954915	0	0	9.00990220315199	0	0	4.00195439749781	0	0	1.00012209018435	0
Adamts5	0	1.00012209018435	1.00012209018435	0	0	0	0	5.00305424361532	1.00012209018435	0	3.00109916954915
Add1	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	3.00109916954915	5.00305424361532
Adra2a	5.00305424361532	3.00109916954915	2.00048844025395	0	13.0206736374495	0	0	0	0	1.00012209018435	2.00048844025395
Agtr2	0	6.00439882750478	0	0	0	0	5.00305424361532	0	0	0	0
Aldoa	6.00439882750478	2.00048844025395	1.00012209018435	1.00012209018435	3.00109916954915	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915
Angptl2	0	8.00782268745052	6.00439882750478	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	3.00109916954915
Angptl4	0	1.00012209018435	2.00048844025395	5.00305424361532	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	3.00109916954915
Ankle2	2.00048844025395	0	0	1.00012209018435	0	7.00598826885697	0	0	0	1.00012209018435	0
Anxa1	2.00048844025395	0	0	0	5.00305424361532	0	0	0	1.00012209018435	2.00048844025395	0
Aoc3	4.00195439749781	6.00439882750478	0	2.00048844025395	5.00305424361532	1.00012209018435	1.00012209018435	4.00195439749781	0	3.00109916954915	5.00305424361532
Ap2m1	0	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395
Apoe	41.2065798956254	39.186855988824	129.010540282996	49.2954494708865	26.0828704059517	2.00048844025395	19.0442041347699	86.9156717311133	45.2490179242113	55.3726019210037	138.309068680468
App	9.00990220315199	9.00990220315199	9.00990220315199	2.00048844025395	3.00109916954915	0	3.00109916954915	2.00048844025395	2.00048844025395	3.00109916954915	2.00048844025395
Arhgap24	6.00439882750478	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0
Arpc2	0	0	6.00439882750478	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0
Arpc5	3.00109916954915	0	2.00048844025395	1.00012209018435	6.00439882750478	4.00195439749781	1.00012209018435	1.00012209018435	0	0	0
Asna1	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	0	0
Atf3	11.0147970057849	14.0239804397716	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	29.1031482864402	0
Atf4	1.00012209018435	5.00305424361532	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435
Atp1a2	1.00012209018435	1.00012209018435	7.00598826885697	0	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	2.00048844025395
Atp1b1	0	1.00012209018435	0	0	0	12.0176125328898	0	1.00012209018435	0	0	0
Atp5a1	7.00598826885697	5.00305424361532	1.00012209018435	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	2.00048844025395	2.00048844025395	3.00109916954915	6.00439882750478
Atp5b	7.00598826885697	4.00195439749781	0	3.00109916954915	2.00048844025395	1.00012209018435	0	1.00012209018435	0	1.00012209018435	2.00048844025395
Atp5c1	7.00598826885697	0	0	1.00012209018435	1.00012209018435	0	0	0	3.00109916954915	0	1.00012209018435
Atp5g1	5.00305424361532	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435
Atp5h	5.00305424361532	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435
Atp6v0d1	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	5.00305424361532
Atpif1	5.00305424361532	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435
Axl	2.00048844025395	2.00048844025395	3.00109916954915	3.00109916954915	5.00305424361532	0	0	0	0	2.00048844025395	3.00109916954915
B2m	20.048987655079	20.048987655079	12.0176125328898	11.0147970057849	7.00598826885697	5.00305424361532	7.00598826885697	7.00598826885697	15.0275330602518	7.00598826885697	3.00109916954915
Bach2	0	0	0	0	0	5.00305424361532	0	0	0	0	0
Bambi	6.00439882750478	0	0	0	0	0	0	1.00012209018435	0	0	0
Bgn	17.0353762377124	13.0206736374495	6.00439882750478	6.00439882750478	21.0540177177831	0	2.00048844025395	2.00048844025395	3.00109916954915	5.00305424361532	4.00195439749781
Bhlhe40	0	0	1.00012209018435	0	5.00305424361532	0	0	0	0	1.00012209018435	0
Birc2	7.00598826885697	3.00109916954915	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0
Birc3	1.00012209018435	0	0	0	8.00782268745052	0	0	1.00012209018435	0	0	0
Bnip3l	5.00305424361532	1.00012209018435	2.00048844025395	0	3.00109916954915	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	4.00195439749781
Brd4	0	0	0	0	1.00012209018435	0	2.00048844025395	0	5.00305424361532	2.00048844025395	0
Bsg	2.00048844025395	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	1.00012209018435	5.00305424361532	1.00012209018435	3.00109916954915
Bst1	6.00439882750478	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0
Btg2	2.00048844025395	16.0313316193744	3.00109916954915	14.0239804397716	5.00305424361532	3.00109916954915	3.00109916954915	5.00305424361532	0	29.1031482864402	4.00195439749781
Bzw1	1.00012209018435	2.00048844025395	0	0	0	5.00305424361532	0	0	0	0	0
C1ra	1.00012209018435	4.00195439749781	5.00305424361532	4.00195439749781	1.00012209018435	0	5.00305424361532	3.00109916954915	2.00048844025395	3.00109916954915	4.00195439749781
C1s1	4.00195439749781	6.00439882750478	5.00305424361532	7.00598826885697	6.00439882750478	0	5.00305424361532	9.00990220315199	9.00990220315199	2.00048844025395	3.00109916954915
C2	1.00012209018435	8.00782268745052	0	3.00109916954915	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	0
C3	35.1503934793561	33.1336529167031	38.1773673823587	17.0353762377124	12.0176125328898	2.00048844025395	4.00195439749781	43.22730021288	22.0592944438992	2.00048844025395	17.0353762377124
C4a	3.00109916954915	1.00012209018435	8.00782268745052	1.00012209018435	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	11.0147970057849
Cadm1	10.0122269359159	0	0	0	0	0	0	0	0	0	0
Calm1	7.00598826885697	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435
Calr	15.0275330602518	0	6.00439882750478	2.00048844025395	4.00195439749781	0	4.00195439749781	7.00598826885697	2.00048844025395	6.00439882750478	4.00195439749781
Canx	9.00990220315199	0	1.00012209018435	1.00012209018435	7.00598826885697	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435
Capns1	3.00109916954915	2.00048844025395	2.00048844025395	4.00195439749781	0	1.00012209018435	1.00012209018435	0	8.00782268745052	0	8.00782268745052
Cav1	0	0	0	0	0	0	0	5.00305424361532	0	0	0
