GENEID	X3	X4	X7	X12	X14	X15	X16	X17	X24	X31	X32	X36	X38	X39	X40	X43	X45	X47	X54	X56	X57	X61	X62	X63	X64	X69	X70	X71	X72	X74	X76	X77	X78	X79	X80	X85	X86	X87	X88	X92	X94	X96
1500015O10Rik	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	4.00195439749781	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	9.00990220315199
1810058I24Rik	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	4.00195439749781	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395
2700060E02Rik	1.00012209018435	7.00598826885697	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435
2810474O19Rik	14.0239804397716	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0
5830411N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930021J03Rik	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	1.00012209018435	0	0	3.00109916954915	6.00439882750478	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0
9930111J21Rik1	21.0540177177831	3.00109916954915	8.00782268745052	6.00439882750478	4.00195439749781	2.00048844025395	5.00305424361532	8.00782268745052	1.00012209018435	2.00048844025395	1.00012209018435	4.00195439749781	4.00195439749781	2.00048844025395	0	6.00439882750478	4.00195439749781	6.00439882750478	4.00195439749781	8.00782268745052	6.00439882750478	4.00195439749781	0	2.00048844025395	5.00305424361532	2.00048844025395	0	4.00195439749781	6.00439882750478	2.00048844025395	6.00439882750478	0	0	4.00195439749781	2.00048844025395	2.00048844025395	0	1.00012209018435	9.00990220315199	3.00109916954915	0	3.00109916954915
A430073D23Rik	31.1179048445245	8.00782268745052	12.0176125328898	20.048987655079	3.00109916954915	4.00195439749781	22.0592944438992	15.0275330602518	8.00782268745052	8.00782268745052	9.00990220315199	30.1104026871881	6.00439882750478	2.00048844025395	3.00109916954915	13.0206736374495	7.00598826885697	10.0122269359159	34.1418990756402	16.0313316193744	15.0275330602518	9.00990220315199	10.0122269359159	4.00195439749781	7.00598826885697	3.00109916954915	8.00782268745052	4.00195439749781	12.0176125328898	17.0353762377124	11.0147970057849	4.00195439749781	5.00305424361532	8.00782268745052	3.00109916954915	12.0176125328898	1.00012209018435	0	23.0648179545339	6.00439882750478	0	9.00990220315199
AI314180	0	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	6.00439882750478	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	3.00109916954915
AI506816	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	5.00305424361532	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915
