GENEID	X23	X41	X47	X70	X79	X84	X92	X94
1110059G10Rik	0	0	0	0	0	0	5.00305424361532	0
1810011O10Rik	0	10.0122269359159	0	0	0	0	0	1.00012209018435
2810474O19Rik	1.00012209018435	0	0	0	0	1.00012209018435	12.0176125328898	0
4632427E13Rik	0	0	0	3.00109916954915	0	3.00109916954915	5.00305424361532	0
4930402H24Rik	0	1.00012209018435	1.00012209018435	0	2.00048844025395	5.00305424361532	0	1.00012209018435
4930453N24Rik	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532
8430408G22Rik	0	16.0313316193744	0	0	0	0	0	0
9930111J21Rik1	0	10.0122269359159	3.00109916954915	1.00012209018435	5.00305424361532	1.00012209018435	8.00782268745052	6.00439882750478
9930120I10Rik	0	0	0	0	0	5.00305424361532	0	0
A430073D23Rik	0	40.1965934523377	7.00598826885697	0	8.00782268745052	14.0239804397716	32.1256548803621	15.0275330602518
Abca1	1.00012209018435	7.00598826885697	0	1.00012209018435	0	0	10.0122269359159	3.00109916954915
Abca8a	0	0	3.00109916954915	0	0	6.00439882750478	3.00109916954915	0
Abcc9	1.00012209018435	0	0	1.00012209018435	0	17.0353762377124	18.0396670359275	0
Ablim1	0	7.00598826885697	0	0	3.00109916954915	0	0	3.00109916954915
Acadl	0	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435
Acta2	0	0	0	0	0	5.00305424361532	0	1.00012209018435
Actb	4.00195439749781	20.048987655079	1.00012209018435	5.00305424361532	29.1031482864402	19.0442041347699	22.0592944438992	28.0961415204583
Actg1	1.00012209018435	30.1104026871881	0	8.00782268745052	12.0176125328898	4.00195439749781	11.0147970057849	10.0122269359159
Actn1	0	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	9.00990220315199	1.00012209018435
Actn4	0	0	0	1.00012209018435	0	2.00048844025395	4.00195439749781	6.00439882750478
Acvrl1	0	6.00439882750478	0	0	0	0	0	0
Adam12	0	0	0	1.00012209018435	0	11.0147970057849	1.00012209018435	1.00012209018435
Adam28	0	0	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435
Adgre5	0	5.00305424361532	0	0	0	0	0	4.00195439749781
Adgrf5	0	7.00598826885697	0	0	0	0	0	0
Adgrl1	0	0	0	0	0	1.00012209018435	9.00990220315199	0
Adh1	0	0	0	0	0	1.00012209018435	17.0353762377124	0
Aebp1	0	0	1.00012209018435	0	0	1.00012209018435	5.00305424361532	0
