GENEID	X2	X5	X9	X15	X16	X18	X27	X30	X31	X32	X34	X36	X37	X38	X40	X41	X42	X46	X49	X52	X58	X59	X61	X62	X65	X66	X68	X69	X73	X74	X75	X78	X88	X89	X93
1190002N15Rik	0	0	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0
1810058I24Rik	0	0	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0
4933411E06Rik	0	6.00439882750478	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0
9530026P05Rik	0	1.00012209018435	0	1.00012209018435	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0
9930111J21Rik1	1.00012209018435	7.00598826885697	6.00439882750478	8.00782268745052	5.00305424361532	2.00048844025395	0	0	5.00305424361532	2.00048844025395	4.00195439749781	20.048987655079	1.00012209018435	1.00012209018435	5.00305424361532	3.00109916954915	0	3.00109916954915	6.00439882750478	1.00012209018435	2.00048844025395	14.0239804397716	4.00195439749781	1.00012209018435	5.00305424361532	2.00048844025395	0	0	17.0353762377124	8.00782268745052	6.00439882750478	0	1.00012209018435	1.00012209018435	1.00012209018435
A430073D23Rik	16.0313316193744	16.0313316193744	16.0313316193744	15.0275330602518	15.0275330602518	15.0275330602518	0	0	17.0353762377124	5.00305424361532	18.0396670359275	40.1965934523377	3.00109916954915	5.00305424361532	10.0122269359159	7.00598826885697	7.00598826885697	5.00305424361532	32.1256548803621	3.00109916954915	13.0206736374495	37.1681275103067	15.0275330602518	11.0147970057849	7.00598826885697	13.0206736374495	3.00109916954915	6.00439882750478	52.332898627509	15.0275330602518	17.0353762377124	1.00012209018435	3.00109916954915	6.00439882750478	2.00048844025395
A430078G23Rik	1.00012209018435	5.00305424361532	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0
AI838599	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	0	0	3.00109916954915	1.00012209018435	3.00109916954915	1.00012209018435	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	2.00048844025395	0	0	3.00109916954915	3.00109916954915	2.00048844025395	0	0	0	1.00012209018435
Abca1	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	8.00782268745052	0	3.00109916954915	0	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435
Abca8a	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	5.00305424361532	0	0	0	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0
Abcc9	0	0	0	2.00048844025395	3.00109916954915	1.00012209018435	3.00109916954915	2.00048844025395	0	2.00048844025395	6.00439882750478	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	5.00305424361532	1.00012209018435	3.00109916954915	2.00048844025395	4.00195439749781	0	0	2.00048844025395	0	0	0	0	1.00012209018435
Abhd17b	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	2.00048844025395	1.00012209018435	0	0	0
Abhd4	0	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0
Abi3bp	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0
Acin1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	5.00305424361532	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0
Acsl4	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0
Acta2	0	0	0	0	0	2.00048844025395	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	0	0	8.00782268745052	0	0	11.0147970057849	0	0	0	0	0	0	0	0	0	0	0	0
Actb	11.0147970057849	1.00012209018435	56.38633784995	20.048987655079	5.00305424361532	8.00782268745052	5.00305424361532	3.00109916954915	0	33.1336529167031	57.4003247346927	2.00048844025395	13.0206736374495	1.00012209018435	18.0396670359275	8.00782268745052	2.00048844025395	9.00990220315199	30.1104026871881	12.0176125328898	9.00990220315199	7.00598826885697	56.38633784995	43.22730021288	6.00439882750478	2.00048844025395	4.00195439749781	7.00598826885697	114.587990170417	11.0147970057849	5.00305424361532	5.00305424361532	6.00439882750478	17.0353762377124	10.0122269359159
Actg1	2.00048844025395	0	12.0176125328898	2.00048844025395	2.00048844025395	0	3.00109916954915	1.00012209018435	0	2.00048844025395	1.00012209018435	0	2.00048844025395	1.00012209018435	6.00439882750478	2.00048844025395	2.00048844025395	0	9.00990220315199	6.00439882750478	1.00012209018435	0	2.00048844025395	6.00439882750478	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	57.4003247346927	3.00109916954915	2.00048844025395	4.00195439749781	0	3.00109916954915	1.00012209018435
Actn4	0	0	6.00439882750478	2.00048844025395	1.00012209018435	0	0	0	0	0	3.00109916954915	1.00012209018435	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	3.00109916954915	3.00109916954915	4.00195439749781	0	5.00305424361532	0	1.00012209018435	0	2.00048844025395	0	0	0	0
Actr3	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	9.00990220315199	0	0	0	1.00012209018435	1.00012209018435	0
Adamts1	0	0	0	0	0	0	0	1.00012209018435	0	10.0122269359159	26.0828704059517	0	0	0	0	0	0	2.00048844025395	0	2.00048844025395	9.00990220315199	11.0147970057849	4.00195439749781	0	5.00305424361532	5.00305424361532	18.0396670359275	0	0	7.00598826885697	6.00439882750478	0	0	0	0
Adgrf5	0	1.00012209018435	6.00439882750478	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0
Adnp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
Adra2a	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	4.00195439749781	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	0	0	8.00782268745052	4.00195439749781	4.00195439749781	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0
Aebp1	0	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	6.00439882750478	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	9.00990220315199	2.00048844025395	1.00012209018435	2.00048844025395	3.00109916954915	0	0	0	0	3.00109916954915	0	0	0
Ahnak	0	0	0	0	9.00990220315199	0	2.00048844025395	4.00195439749781	0	5.00305424361532	2.00048844025395	0	3.00109916954915	0	4.00195439749781	0	0	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	0	3.00109916954915	11.0147970057849	0	3.00109916954915	5.00305424361532	0	2.00048844025395	3.00109916954915	4.00195439749781	1.00012209018435	1.00012209018435	0	1.00012209018435
Ahr	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	7.00598826885697	0	1.00012209018435	0	0	0	1.00012209018435
Akap2	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	10.0122269359159	2.00048844025395	1.00012209018435	0	0	3.00109916954915	0	0	0	0	0	4.00195439749781	2.00048844025395	4.00195439749781	0	3.00109916954915	1.00012209018435	11.0147970057849	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0
Akr1b3	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	5.00305424361532	0	0	0	0	0	0
Aldoa	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	1.00012209018435	16.0313316193744	0	0	1.00012209018435	0	1.00012209018435	0
Angptl2	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	8.00782268745052	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0
Angptl4	0	0	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	2.00048844025395	8.00782268745052	0	3.00109916954915	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	7.00598826885697	4.00195439749781	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0
Ankrd12	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	7.00598826885697	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0
Ano1	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	6.00439882750478	1.00012209018435	0	0	0	0	0	0	1.00012209018435
Anp32b	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0
Anxa1	0	0	5.00305424361532	8.00782268745052	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435
Anxa2	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
Anxa5	0	0	9.00990220315199	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	0	4.00195439749781	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	2.00048844025395	0	0	0	0	0	0
