GENEID	X3	X7	X14	X22	X36	X39	X41	X46	X47	X48	X50	X61	X62	X64	X65	X70	X72	X73	X74	X78	X80	X81	X84	X92	X94
4632427E13Rik	0	0	5.00305424361532	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	5.00305424361532	1.00012209018435	20.048987655079	0	7.00598826885697	4.00195439749781	5.00305424361532	1.00012209018435	3.00109916954915	3.00109916954915	3.00109916954915	0	1.00012209018435	1.00012209018435	6.00439882750478	2.00048844025395	2.00048844025395	0	0	20.048987655079	3.00109916954915	25.0766058142306	8.00782268745052	13.0206736374495	2.00048844025395
A430073D23Rik	14.0239804397716	12.0176125328898	80.7915739045011	0	14.0239804397716	20.048987655079	16.0313316193744	0	12.0176125328898	15.0275330602518	10.0122269359159	0	13.0206736374495	6.00439882750478	16.0313316193744	10.0122269359159	4.00195439749781	0	3.00109916954915	66.5375202452072	8.00782268745052	87.9372454987234	10.0122269359159	48.283466760365	6.00439882750478
AI506816	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	5.00305424361532	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0
AI838599	1.00012209018435	0	7.00598826885697	0	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	3.00109916954915	2.00048844025395	7.00598826885697	1.00012209018435	3.00109916954915	0
AU022252	1.00012209018435	0	6.00439882750478	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395
Abca1	1.00012209018435	6.00439882750478	2.00048844025395	0	0	0	0	3.00109916954915	0	0	0	3.00109916954915	3.00109916954915	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435
Abcc9	0	8.00782268745052	5.00305424361532	2.00048844025395	0	0	4.00195439749781	2.00048844025395	2.00048844025395	4.00195439749781	1.00012209018435	0	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	4.00195439749781	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	10.0122269359159	3.00109916954915
Abcg2	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0
Abi3bp	0	6.00439882750478	2.00048844025395	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0
Acadl	0	6.00439882750478	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0
Acap2	1.00012209018435	5.00305424361532	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0
Aco2	0	4.00195439749781	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	0	0	0	1.00012209018435	1.00012209018435
Acta2	0	8.00782268745052	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	7.00598826885697	0	0	0	0	0	1.00012209018435	1.00012209018435	0
Actb	0	89.9811577167838	13.0206736374495	3.00109916954915	9.00990220315199	15.0275330602518	1.00012209018435	1.00012209018435	2.00048844025395	10.0122269359159	18.0396670359275	18.0396670359275	1.00012209018435	16.0313316193744	5.00305424361532	27.0893822675098	61.4587843186464	1.00012209018435	2.00048844025395	5.00305424361532	2.00048844025395	0	9.00990220315199	16.0313316193744	3.00109916954915
Actg1	0	5.00305424361532	1.00012209018435	3.00109916954915	8.00782268745052	9.00990220315199	0	2.00048844025395	0	3.00109916954915	3.00109916954915	19.0442041347699	0	3.00109916954915	1.00012209018435	10.0122269359159	14.0239804397716	1.00012209018435	1.00012209018435	2.00048844025395	0	0	5.00305424361532	4.00195439749781	3.00109916954915
Actn1	0	6.00439882750478	3.00109916954915	0	1.00012209018435	0	0	3.00109916954915	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	5.00305424361532	0	0	0	0	0	2.00048844025395	3.00109916954915	0
Actn4	0	2.00048844025395	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	3.00109916954915	0	7.00598826885697	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435
Actr3	0	3.00109916954915	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	6.00439882750478	0	1.00012209018435	0	0	0	0	0	0
Adam12	0	6.00439882750478	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	0	4.00195439749781	1.00012209018435	2.00048844025395	0	0	1.00012209018435	3.00109916954915	0	0	1.00012209018435	0
Adamts1	2.00048844025395	3.00109916954915	13.0206736374495	0	0	0	0	0	0	1.00012209018435	1.00012209018435	6.00439882750478	0	5.00305424361532	14.0239804397716	8.00782268745052	2.00048844025395	0	2.00048844025395	4.00195439749781	0	3.00109916954915	0	20.048987655079	2.00048844025395
Adamts4	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts9	0	0	10.0122269359159	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0
Adh1	0	14.0239804397716	9.00990220315199	1.00012209018435	0	0	1.00012209018435	0	0	5.00305424361532	2.00048844025395	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	3.00109916954915	2.00048844025395	6.00439882750478	0	0	1.00012209018435	1.00012209018435
Aebp1	1.00012209018435	8.00782268745052	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	3.00109916954915	3.00109916954915
Ahcyl1	0	7.00598826885697	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0
Ahnak	2.00048844025395	9.00990220315199	8.00782268745052	2.00048844025395	0	0	0	2.00048844025395	7.00598826885697	2.00048844025395	1.00012209018435	0	3.00109916954915	2.00048844025395	5.00305424361532	4.00195439749781	0	2.00048844025395	1.00012209018435	4.00195439749781	3.00109916954915	1.00012209018435	0	8.00782268745052	2.00048844025395
Ahr	0	8.00782268745052	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	4.00195439749781	2.00048844025395	0	0	0	0	0	7.00598826885697	0
Akap12	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	7.00598826885697	2.00048844025395	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0
Akap2	0	2.00048844025395	11.0147970057849	2.00048844025395	0	0	2.00048844025395	1.00012209018435	5.00305424361532	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	4.00195439749781	19.0442041347699	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435
Akr1a1	0	6.00439882750478	4.00195439749781	0	0	0	0	0	0	4.00195439749781	2.00048844025395	0	0	2.00048844025395	0	0	4.00195439749781	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	0	0
Aldh2	1.00012209018435	2.00048844025395	7.00598826885697	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	4.00195439749781	0	0	0	3.00109916954915	2.00048844025395	1.00012209018435	0	0	0	2.00048844025395	3.00109916954915	0	0	4.00195439749781	3.00109916954915
Angel2	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0
Angptl2	0	7.00598826885697	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	3.00109916954915	0	1.00012209018435	0	3.00109916954915	2.00048844025395	0	0	2.00048844025395	1.00012209018435
Angptl4	0	5.00305424361532	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	0	4.00195439749781	2.00048844025395	0	0	5.00305424361532	4.00195439749781
Ankrd11	0	6.00439882750478	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	0	0	0	4.00195439749781	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0
Ano1	0	2.00048844025395	6.00439882750478	1.00012209018435	0	0	0	0	0	1.00012209018435	3.00109916954915	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	2.00048844025395	1.00012209018435
Antxr1	0	6.00439882750478	0	0	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	2.00048844025395	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	4.00195439749781	1.00012209018435
Anxa1	0	4.00195439749781	0	0	4.00195439749781	0	0	0	0	0	0	2.00048844025395	0	0	0	3.00109916954915	3.00109916954915	0	0	5.00305424361532	0	1.00012209018435	0	1.00012209018435	0
Aoc3	0	7.00598826885697	1.00012209018435	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	1.00012209018435	5.00305424361532	2.00048844025395	1.00012209018435	0	0	0	0	5.00305424361532	6.00439882750478
Apoe	12.0176125328898	145.555879619208	35.1503934793561	13.0206736374495	0	5.00305424361532	16.0313316193744	12.0176125328898	26.0828704059517	149.702678252316	29.1031482864402	2.00048844025395	10.0122269359159	49.2954494708865	51.3201652807748	135.20721317441	35.1503934793561	44.2380343327527	14.0239804397716	50.3076822698104	73.6583465760993	7.00598826885697	1.00012209018435	57.4003247346927	79.771780546812
Apold1	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0
App	0	18.0396670359275	5.00305424361532	0	0	0	1.00012209018435	2.00048844025395	3.00109916954915	12.0176125328898	6.00439882750478	1.00012209018435	0	3.00109916954915	2.00048844025395	10.0122269359159	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	7.00598826885697	0	0	1.00012209018435	3.00109916954915
Arf1	0	6.00439882750478	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	3.00109916954915
Arf4	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	12.0176125328898	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	0	0	4.00195439749781	0
Arid2	0	6.00439882750478	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	2.00048844025395
Arl1	0	5.00305424361532	2.00048844025395	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	6.00439882750478	2.00048844025395	0	0	0	2.00048844025395	0	0	0	0
Arl5b	0	0	6.00439882750478	0	0	0	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0
Arpc1b	0	7.00598826885697	6.00439882750478	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	0	1.00012209018435	0	0	5.00305424361532	2.00048844025395
Arpc5	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	0	5.00305424361532	0	1.00012209018435	0	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435
Atf3	0	9.00990220315199	0	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	7.00598826885697	6.00439882750478	2.00048844025395	12.0176125328898	1.00012209018435	13.0206736374495	9.00990220315199	0	0	10.0122269359159	0	0	0	12.0176125328898	0
Atf4	0	2.00048844025395	8.00782268745052	2.00048844025395	5.00305424361532	2.00048844025395	1.00012209018435	1.00012209018435	5.00305424361532	7.00598826885697	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	6.00439882750478	1.00012209018435	3.00109916954915	4.00195439749781	0	5.00305424361532	3.00109916954915	1.00012209018435	6.00439882750478	7.00598826885697	1.00012209018435
Atf5	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435
Atp1a2	0	9.00990220315199	3.00109916954915	1.00012209018435	0	0	0	2.00048844025395	0	6.00439882750478	1.00012209018435	0	0	7.00598826885697	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	0	0	6.00439882750478	1.00012209018435
Atp2a2	0	5.00305424361532	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	3.00109916954915	0	0	1.00012209018435	2.00048844025395	0	0	3.00109916954915	3.00109916954915	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	1.00012209018435
Atp5b	0	4.00195439749781	2.00048844025395	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	2.00048844025395	1.00012209018435	7.00598826885697	6.00439882750478	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	3.00109916954915
Atp5c1	0	7.00598826885697	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435
Atp5g3	0	7.00598826885697	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	0	0	3.00109916954915	4.00195439749781	1.00012209018435	2.00048844025395	0	3.00109916954915	0	1.00012209018435	0	0
B230219D22Rik	0	5.00305424361532	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	2.00048844025395	0
B2m	4.00195439749781	16.0313316193744	7.00598826885697	3.00109916954915	6.00439882750478	6.00439882750478	2.00048844025395	3.00109916954915	3.00109916954915	11.0147970057849	22.0592944438992	13.0206736374495	5.00305424361532	9.00990220315199	2.00048844025395	19.0442041347699	20.048987655079	2.00048844025395	12.0176125328898	11.0147970057849	11.0147970057849	0	9.00990220315199	13.0206736374495	13.0206736374495
BC005537	0	6.00439882750478	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	0	0	2.00048844025395	5.00305424361532	0
BC051077	2.00048844025395	1.00012209018435	7.00598826885697	0	0	0	2.00048844025395	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	0	2.00048844025395	3.00109916954915	0	0	0	2.00048844025395	0	8.00782268745052	0	2.00048844025395	0
Bach1	0	0	2.00048844025395	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	4.00195439749781	0	1.00012209018435	1.00012209018435	0	0	0	6.00439882750478	0
Bag3	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	1.00012209018435	3.00109916954915	0	0	1.00012209018435	1.00012209018435	0	14.0239804397716	0	0	16.0313316193744	1.00012209018435	0	0	1.00012209018435	0
Baiap2	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	6.00439882750478	8.00782268745052	0	0	0	0	0	0	0	1.00012209018435	0	0
Bgn	0	15.0275330602518	6.00439882750478	1.00012209018435	0	0	2.00048844025395	2.00048844025395	1.00012209018435	4.00195439749781	1.00012209018435	0	1.00012209018435	9.00990220315199	5.00305424361532	21.0540177177831	23.0648179545339	2.00048844025395	4.00195439749781	0	2.00048844025395	3.00109916954915	0	7.00598826885697	9.00990220315199
Bicc1	0	1.00012209018435	5.00305424361532	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	3.00109916954915	0	0	0	2.00048844025395	0
Birc2	0	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915	0
Bmpr2	0	5.00305424361532	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435
Bptf	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0
Brd4	0	3.00109916954915	0	0	0	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	0	4.00195439749781	0	0	0	2.00048844025395	6.00439882750478	0	2.00048844025395	4.00195439749781	1.00012209018435
Bsg	1.00012209018435	7.00598826885697	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	5.00305424361532	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	0	0	2.00048844025395	0
Btg1	0	8.00782268745052	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	3.00109916954915	1.00012209018435	2.00048844025395	0	2.00048844025395	0	12.0176125328898	0	1.00012209018435
Btg2	2.00048844025395	10.0122269359159	5.00305424361532	2.00048844025395	0	0	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	18.0396670359275	2.00048844025395	1.00012209018435	5.00305424361532	3.00109916954915	12.0176125328898	11.0147970057849	0	1.00012209018435	15.0275330602518	1.00012209018435	0	3.00109916954915	30.1104026871881	1.00012209018435
Bzw1	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	0
