GENEID	X106	X112	X113	X115	X117	X122	X123	X126	X129	X130	X131	X134	X135	X138	X140	X141	X142	X143	X148	X150	X152	X154	X156	X161	X163	X165	X167	X169	X170	X172	X179	X181	X185	X186	X187	X189
4933427J07Rik	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435
5330406M23Rik	0	0	7.00598826885697	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0
9930111J21Rik1	0	1.00012209018435	2.00048844025395	7.00598826885697	9.00990220315199	1.00012209018435	16.0313316193744	0	4.00195439749781	0	4.00195439749781	9.00990220315199	2.00048844025395	9.00990220315199	32.1256548803621	0	1.00012209018435	3.00109916954915	1.00012209018435	7.00598826885697	0	10.0122269359159	9.00990220315199	3.00109916954915	3.00109916954915	2.00048844025395	2.00048844025395	0	11.0147970057849	20.048987655079	1.00012209018435	2.00048844025395	0	4.00195439749781	5.00305424361532	3.00109916954915
A430073D23Rik	0	9.00990220315199	7.00598826885697	20.048987655079	37.1681275103067	2.00048844025395	33.1336529167031	11.0147970057849	2.00048844025395	1.00012209018435	16.0313316193744	39.186855988824	13.0206736374495	34.1418990756402	91.0034964217043	5.00305424361532	10.0122269359159	7.00598826885697	9.00990220315199	18.0396670359275	0	45.2490179242113	25.0766058142306	9.00990220315199	35.1503934793561	2.00048844025395	10.0122269359159	0	23.0648179545339	52.332898627509	7.00598826885697	5.00305424361532	0	9.00990220315199	17.0353762377124	14.0239804397716
AI838599	0	1.00012209018435	0	2.00048844025395	6.00439882750478	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	4.00195439749781	0	2.00048844025395	2.00048844025395	0	0	0	2.00048844025395	5.00305424361532	0	2.00048844025395	0	0	0	1.00012209018435	4.00195439749781	1.00012209018435	0	0	0	2.00048844025395	0
Abca1	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	6.00439882750478	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	0	3.00109916954915	1.00012209018435
Abca8a	1.00012209018435	0	5.00305424361532	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0
Abcb1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc9	1.00012209018435	0	1.00012209018435	2.00048844025395	4.00195439749781	8.00782268745052	2.00048844025395	1.00012209018435	0	0	3.00109916954915	4.00195439749781	4.00195439749781	0	0	1.00012209018435	3.00109916954915	4.00195439749781	3.00109916954915	0	0	0	3.00109916954915	2.00048844025395	2.00048844025395	0	1.00012209018435	0	4.00195439749781	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	2.00048844025395
Abcg2	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0
Abhd2	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0
Abhd4	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	7.00598826885697	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0
Ablim1	0	0	7.00598826885697	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	3.00109916954915	1.00012209018435	0	3.00109916954915	1.00012209018435	0	0	0	4.00195439749781	0	0	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435
Acat1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0
Ackr2	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ackr4	0	0	0	0	0	0	0	0	26.0828704059517	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta2	10.0122269359159	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	10.0122269359159	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	8.00782268745052	0	0	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0
Actb	17.0353762377124	17.0353762377124	8.00782268745052	20.048987655079	17.0353762377124	8.00782268745052	1.00012209018435	10.0122269359159	48.283466760365	3.00109916954915	17.0353762377124	17.0353762377124	48.283466760365	22.0592944438992	3.00109916954915	2.00048844025395	6.00439882750478	20.048987655079	8.00782268745052	0	9.00990220315199	71.6225612459211	3.00109916954915	17.0353762377124	16.0313316193744	6.00439882750478	1.00012209018435	6.00439882750478	22.0592944438992	4.00195439749781	2.00048844025395	2.00048844025395	4.00195439749781	47.2717340146999	7.00598826885697	5.00305424361532
Actg1	3.00109916954915	3.00109916954915	2.00048844025395	1.00012209018435	0	4.00195439749781	1.00012209018435	0	12.0176125328898	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	16.0313316193744	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	46.2602511104364	0	0	3.00109916954915	0	2.00048844025395	0	9.00990220315199	1.00012209018435	1.00012209018435	0	0	10.0122269359159	2.00048844025395	0
Actn4	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	0	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	9.00990220315199	4.00195439749781	0	0	2.00048844025395	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	3.00109916954915	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0
Adamts1	4.00195439749781	2.00048844025395	16.0313316193744	12.0176125328898	8.00782268745052	4.00195439749781	0	4.00195439749781	6.00439882750478	0	14.0239804397716	4.00195439749781	0	0	0	0	2.00048844025395	0	6.00439882750478	0	2.00048844025395	16.0313316193744	4.00195439749781	5.00305424361532	0	10.0122269359159	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0
Adamts14	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts4	0	0	3.00109916954915	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
