GENEID	X97	X98	X100	X102	X103	X104	X108	X109	X110	X111	X113	X114	X115	X116	X117	X120	X121	X125	X126	X127	X129	X131	X132	X134	X135	X140	X141	X142	X143	X144	X145	X147	X149	X150	X151	X152	X153	X154	X156	X157	X158	X159	X161	X162	X163	X164	X165	X166	X167	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X180	X181	X182	X183	X184	X186	X188	X189	X190	X191	X192
1190002N15Rik	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0
1810011O10Rik	7.00598826885697	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	3.00109916954915	3.00109916954915	1.00012209018435	0	0	0	0	0	0	4.00195439749781	0	0	3.00109916954915	0	0	4.00195439749781	0	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0
1810058I24Rik	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0
2410006H16Rik	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
2700060E02Rik	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	1.00012209018435	1.00012209018435
2810474O19Rik	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435
4933411E06Rik	6.00439882750478	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	19.0442041347699	0	0	0	0	1.00012209018435	0	11.0147970057849	0	0	0	0	0	0	0	0	0	0	4.00195439749781	6.00439882750478	0	1.00012209018435	0	0	0	0	0	0	0
9930111J21Rik1	40.1965934523377	0	0	1.00012209018435	1.00012209018435	15.0275330602518	4.00195439749781	10.0122269359159	5.00305424361532	6.00439882750478	6.00439882750478	1.00012209018435	6.00439882750478	7.00598826885697	3.00109916954915	1.00012209018435	1.00012209018435	0	10.0122269359159	3.00109916954915	7.00598826885697	3.00109916954915	4.00195439749781	0	9.00990220315199	0	4.00195439749781	2.00048844025395	1.00012209018435	3.00109916954915	11.0147970057849	1.00012209018435	10.0122269359159	1.00012209018435	3.00109916954915	5.00305424361532	3.00109916954915	1.00012209018435	0	1.00012209018435	7.00598826885697	2.00048844025395	0	1.00012209018435	0	1.00012209018435	4.00195439749781	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	7.00598826885697	5.00305424361532	4.00195439749781	4.00195439749781	3.00109916954915	4.00195439749781	1.00012209018435	1.00012209018435	3.00109916954915	3.00109916954915	1.00012209018435	0	6.00439882750478	14.0239804397716	4.00195439749781	4.00195439749781	7.00598826885697	2.00048844025395	4.00195439749781
A430073D23Rik	114.587990170417	3.00109916954915	8.00782268745052	4.00195439749781	9.00990220315199	38.1773673823587	10.0122269359159	22.0592944438992	8.00782268745052	12.0176125328898	12.0176125328898	13.0206736374495	15.0275330602518	13.0206736374495	18.0396670359275	3.00109916954915	6.00439882750478	4.00195439749781	55.3726019210037	2.00048844025395	9.00990220315199	14.0239804397716	17.0353762377124	0	29.1031482864402	1.00012209018435	22.0592944438992	7.00598826885697	5.00305424361532	7.00598826885697	19.0442041347699	7.00598826885697	34.1418990756402	3.00109916954915	5.00305424361532	17.0353762377124	11.0147970057849	16.0313316193744	0	5.00305424361532	17.0353762377124	20.048987655079	12.0176125328898	4.00195439749781	0	5.00305424361532	15.0275330602518	10.0122269359159	15.0275330602518	1.00012209018435	9.00990220315199	9.00990220315199	7.00598826885697	13.0206736374495	14.0239804397716	15.0275330602518	17.0353762377124	5.00305424361532	2.00048844025395	12.0176125328898	9.00990220315199	1.00012209018435	2.00048844025395	34.1418990756402	39.186855988824	6.00439882750478	5.00305424361532	11.0147970057849	7.00598826885697	2.00048844025395
AI838599	6.00439882750478	0	0	2.00048844025395	0	0	2.00048844025395	3.00109916954915	2.00048844025395	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	3.00109916954915	1.00012209018435	0	0	0	2.00048844025395	0	3.00109916954915	1.00012209018435	1.00012209018435	0	4.00195439749781	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0
Abca1	0	1.00012209018435	0	4.00195439749781	0	0	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	3.00109916954915	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	3.00109916954915	5.00305424361532	0	6.00439882750478	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	6.00439882750478	4.00195439749781	0	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	0	0	0	0	2.00048844025395	5.00305424361532	0	0	2.00048844025395	0	2.00048844025395	0	4.00195439749781	0	0	3.00109916954915	0	0	0
