GENEID	X97	X100	X102	X103	X104	X106	X107	X109	X110	X113	X115	X116	X117	X118	X120	X122	X123	X124	X125	X126	X127	X128	X129	X131	X132	X133	X134	X137	X139	X141	X142	X143	X148	X149	X150	X156	X160	X162	X164	X167	X168	X169	X172	X173	X174	X176	X179	X180	X181	X182	X183	X184	X186	X192
1700025G04Rik	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	5.00305424361532	0	0	0	0	0	2.00048844025395	0	0	5.00305424361532	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0
1810011O10Rik	0	0	0	0	0	2.00048844025395	0	0	3.00109916954915	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	8.00782268745052	1.00012209018435	0	2.00048844025395	0	0	0	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	5.00305424361532	0	0	2.00048844025395	0
1810026B05Rik	0	3.00109916954915	0	0	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	0	0	0	3.00109916954915	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435
5330406M23Rik	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
9930111J21Rik1	5.00305424361532	4.00195439749781	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	5.00305424361532	2.00048844025395	4.00195439749781	4.00195439749781	0	0	2.00048844025395	3.00109916954915	0	0	2.00048844025395	8.00782268745052	3.00109916954915	1.00012209018435	11.0147970057849	0	0	4.00195439749781	0	2.00048844025395	0	3.00109916954915	1.00012209018435	3.00109916954915	1.00012209018435	7.00598826885697	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	7.00598826885697	1.00012209018435	2.00048844025395	0	8.00782268745052	2.00048844025395	2.00048844025395	0	2.00048844025395	3.00109916954915	2.00048844025395	4.00195439749781	3.00109916954915	1.00012209018435
A430073D23Rik	21.0540177177831	8.00782268745052	5.00305424361532	5.00305424361532	5.00305424361532	3.00109916954915	6.00439882750478	12.0176125328898	10.0122269359159	3.00109916954915	23.0648179545339	1.00012209018435	8.00782268745052	11.0147970057849	19.0442041347699	3.00109916954915	1.00012209018435	1.00012209018435	29.1031482864402	9.00990220315199	4.00195439749781	47.2717340146999	0	4.00195439749781	6.00439882750478	0	5.00305424361532	3.00109916954915	20.048987655079	3.00109916954915	4.00195439749781	20.048987655079	31.1179048445245	9.00990220315199	4.00195439749781	9.00990220315199	2.00048844025395	0	6.00439882750478	4.00195439749781	21.0540177177831	5.00305424361532	6.00439882750478	2.00048844025395	24.0705883708827	8.00782268745052	9.00990220315199	4.00195439749781	3.00109916954915	7.00598826885697	4.00195439749781	19.0442041347699	11.0147970057849	0
AI607873	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	6.00439882750478	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0
AU020206	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	7.00598826885697	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0
AW112010	0	0	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	5.00305424361532	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca1	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	4.00195439749781	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	2.00048844025395	0	4.00195439749781	0	0	1.00012209018435	0	12.0176125328898	3.00109916954915	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915
Abcc9	0	7.00598826885697	0	0	3.00109916954915	0	0	3.00109916954915	1.00012209018435	0	9.00990220315199	1.00012209018435	4.00195439749781	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	7.00598826885697	3.00109916954915	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	5.00305424361532	3.00109916954915	0	0	0	2.00048844025395	3.00109916954915	2.00048844025395	10.0122269359159	0	0	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	0	0	0	0	0
Abhd17b	0	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	14.0239804397716	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0
Acbd3	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0
Ackr3	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478
Acta2	0	1.00012209018435	0	5.00305424361532	0	0	0	0	2.00048844025395	0	7.00598826885697	0	0	0	0	2.00048844025395	0	1.00012209018435	12.0176125328898	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	13.0206736374495	1.00012209018435	0
Actb	13.0206736374495	11.0147970057849	13.0206736374495	24.0705883708827	19.0442041347699	12.0176125328898	26.0828704059517	14.0239804397716	23.0648179545339	21.0540177177831	33.1336529167031	13.0206736374495	10.0122269359159	1.00012209018435	23.0648179545339	18.0396670359275	6.00439882750478	4.00195439749781	77.7329552185041	11.0147970057849	40.1965934523377	6.00439882750478	10.0122269359159	7.00598826885697	6.00439882750478	19.0442041347699	31.1179048445245	8.00782268745052	5.00305424361532	3.00109916954915	15.0275330602518	26.0828704059517	36.1591362501238	7.00598826885697	5.00305424361532	7.00598826885697	11.0147970057849	17.0353762377124	25.0766058142306	18.0396670359275	32.1256548803621	5.00305424361532	13.0206736374495	0	11.0147970057849	2.00048844025395	11.0147970057849	9.00990220315199	7.00598826885697	14.0239804397716	0	10.0122269359159	11.0147970057849	2.00048844025395
Actg1	3.00109916954915	2.00048844025395	10.0122269359159	5.00305424361532	8.00782268745052	6.00439882750478	5.00305424361532	2.00048844025395	5.00305424361532	21.0540177177831	8.00782268745052	4.00195439749781	1.00012209018435	8.00782268745052	2.00048844025395	3.00109916954915	0	3.00109916954915	20.048987655079	1.00012209018435	8.00782268745052	0	2.00048844025395	3.00109916954915	6.00439882750478	1.00012209018435	24.0705883708827	0	0	3.00109916954915	5.00305424361532	0	5.00305424361532	2.00048844025395	2.00048844025395	10.0122269359159	1.00012209018435	4.00195439749781	6.00439882750478	2.00048844025395	20.048987655079	2.00048844025395	2.00048844025395	0	0	0	3.00109916954915	5.00305424361532	0	6.00439882750478	0	2.00048844025395	3.00109916954915	4.00195439749781
Actn4	0	2.00048844025395	3.00109916954915	0	3.00109916954915	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	0	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	3.00109916954915	0	4.00195439749781	0	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	5.00305424361532	0	4.00195439749781	0	4.00195439749781	0	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	0	0	0	0
Actr3	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0
Acvrl1	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	4.00195439749781	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	0	0
Adamts1	0	1.00012209018435	3.00109916954915	0	21.0540177177831	0	0	5.00305424361532	2.00048844025395	0	0	1.00012209018435	9.00990220315199	5.00305424361532	0	0	0	1.00012209018435	6.00439882750478	1.00012209018435	1.00012209018435	4.00195439749781	6.00439882750478	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	8.00782268745052	4.00195439749781	3.00109916954915	1.00012209018435	3.00109916954915	13.0206736374495	0	1.00012209018435	0	0	0	0	0	3.00109916954915	5.00305424361532	2.00048844025395	6.00439882750478	0	1.00012209018435
Adamts2	0	1.00012209018435	0	0	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	6.00439882750478
Adamts4	0	13.0206736374495	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0
Adamts5	0	0	1.00012209018435	0	1.00012209018435	0	0	7.00598826885697	0	0	0	0	1.00012209018435	1.00012209018435	0	7.00598826885697	0	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	3.00109916954915	0	5.00305424361532	0	0	0	0	0	0	11.0147970057849
Adgrd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697
Adgrf5	0	3.00109916954915	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	4.00195439749781	0	0	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	2.00048844025395	0	6.00439882750478	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0
Adgrl4	0	0	5.00305424361532	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0
Adh1	0	3.00109916954915	0	0	3.00109916954915	0	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	0	0	6.00439882750478	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0
Adnp	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
Adra2a	0	8.00782268745052	0	0	0	0	0	1.00012209018435	0	0	6.00439882750478	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	4.00195439749781	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
Aebp1	0	2.00048844025395	0	0	3.00109916954915	0	0	11.0147970057849	0	0	2.00048844025395	0	8.00782268745052	11.0147970057849	0	3.00109916954915	0	0	5.00305424361532	11.0147970057849	5.00305424361532	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	8.00782268745052	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532
Ago2	0	0	2.00048844025395	0	4.00195439749781	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0
Ahnak	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	4.00195439749781	2.00048844025395	1.00012209018435	5.00305424361532	1.00012209018435	8.00782268745052	3.00109916954915	1.00012209018435	0	1.00012209018435	0	4.00195439749781	1.00012209018435	7.00598826885697	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	3.00109916954915	1.00012209018435	2.00048844025395	0	0	2.00048844025395	1.00012209018435	3.00109916954915	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	7.00598826885697
