GENEID	X100	X101	X103	X105	X107	X108	X109	X111	X112	X113	X114	X116	X117	X118	X119	X120	X122	X125	X127	X128	X130	X136	X137	X140	X142	X143	X144	X148	X149	X151	X152	X153	X154	X156	X157	X158	X160	X165	X166	X169	X170	X171	X172	X173	X174	X177	X181	X185	X187	X189	X191	X192
1810011O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	4.00195439749781	0	2.00048844025395	0	0	0	2.00048844025395	0	0	0	6.00439882750478	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	7.00598826885697	3.00109916954915	0	0	11.0147970057849	0	0	3.00109916954915	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
9930111J21Rik1	0	1.00012209018435	0	3.00109916954915	8.00782268745052	4.00195439749781	0	6.00439882750478	2.00048844025395	0	4.00195439749781	4.00195439749781	5.00305424361532	0	0	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	4.00195439749781	2.00048844025395	3.00109916954915	1.00012209018435	4.00195439749781	1.00012209018435	2.00048844025395	1.00012209018435	0	5.00305424361532	5.00305424361532	4.00195439749781	4.00195439749781	2.00048844025395	1.00012209018435	0	7.00598826885697	0	3.00109916954915	3.00109916954915	1.00012209018435	3.00109916954915	0	2.00048844025395	0	6.00439882750478	0	1.00012209018435	18.0396670359275	1.00012209018435	5.00305424361532	5.00305424361532	1.00012209018435
A230046K03Rik	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A430073D23Rik	0	8.00782268745052	0	1.00012209018435	15.0275330602518	3.00109916954915	3.00109916954915	20.048987655079	13.0206736374495	0	5.00305424361532	6.00439882750478	13.0206736374495	2.00048844025395	11.0147970057849	6.00439882750478	1.00012209018435	7.00598826885697	10.0122269359159	30.1104026871881	15.0275330602518	13.0206736374495	0	4.00195439749781	1.00012209018435	4.00195439749781	2.00048844025395	5.00305424361532	3.00109916954915	10.0122269359159	3.00109916954915	25.0766058142306	0	0	2.00048844025395	21.0540177177831	1.00012209018435	8.00782268745052	5.00305424361532	0	6.00439882750478	1.00012209018435	7.00598826885697	1.00012209018435	12.0176125328898	0	2.00048844025395	36.1591362501238	14.0239804397716	14.0239804397716	13.0206736374495	10.0122269359159
AI607873	2.00048844025395	0	0	0	0	0	0	7.00598826885697	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0
Abca1	0	0	0	1.00012209018435	0	0	0	3.00109916954915	2.00048844025395	0	0	3.00109916954915	0	1.00012209018435	0	2.00048844025395	5.00305424361532	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	6.00439882750478	0	1.00012209018435	0	0	1.00012209018435	4.00195439749781	1.00012209018435	2.00048844025395	10.0122269359159	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	3.00109916954915	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435
Abca8a	0	0	0	6.00439882750478	0	0	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	9.00990220315199	1.00012209018435	0	0	0	0	0	0	0	5.00305424361532	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	0
Abcc9	0	0	0	12.0176125328898	0	0	0	2.00048844025395	0	0	0	0	3.00109916954915	4.00195439749781	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	9.00990220315199	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	4.00195439749781	1.00012209018435	1.00012209018435
Abcg2	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	3.00109916954915	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	7.00598826885697	0	0	0	1.00012209018435	0	0	0
