GENEID	X1	X2	X3	X4	X5	X8	X9	X11	X13	X16	X18	X19	X20	X21	X23	X24	X25	X26	X27	X28	X32	X33	X37	X38	X39	X40	X41	X43	X45	X48	X49	X50	X52	X53	X54	X56	X60	X61	X62	X64	X65	X66	X69	X70	X71	X72	X74	X76	X78	X79	X80	X81	X86	X91	X92
1700025G04Rik	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	4.00195439749781	0	0	6.00439882750478	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0
1810011O10Rik	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	3.00109916954915	5.00305424361532	7.00598826885697	0	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	4.00195439749781	0	0	0	0	2.00048844025395
4933427J07Rik	1.00012209018435	0	4.00195439749781	1.00012209018435	0	2.00048844025395	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0	0	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0
5330406M23Rik	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	2.00048844025395	0	3.00109916954915	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0
5930430L01Rik	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	8.00782268745052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0
8430408G22Rik	2.00048844025395	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	0	0	0	1.00012209018435	6.00439882750478	0	0	0	1.00012209018435
9530068E07Rik	0	0	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	0
9930111J21Rik1	10.0122269359159	2.00048844025395	15.0275330602518	14.0239804397716	1.00012209018435	3.00109916954915	11.0147970057849	13.0206736374495	12.0176125328898	5.00305424361532	17.0353762377124	0	8.00782268745052	6.00439882750478	12.0176125328898	2.00048844025395	7.00598826885697	0	9.00990220315199	3.00109916954915	8.00782268745052	2.00048844025395	7.00598826885697	8.00782268745052	19.0442041347699	5.00305424361532	4.00195439749781	6.00439882750478	14.0239804397716	2.00048844025395	1.00012209018435	3.00109916954915	0	19.0442041347699	5.00305424361532	8.00782268745052	10.0122269359159	7.00598826885697	4.00195439749781	0	3.00109916954915	0	4.00195439749781	5.00305424361532	1.00012209018435	19.0442041347699	9.00990220315199	6.00439882750478	6.00439882750478	1.00012209018435	12.0176125328898	15.0275330602518	0	6.00439882750478	17.0353762377124
A430073D23Rik	40.1965934523377	9.00990220315199	94.0720444488503	38.1773673823587	7.00598826885697	15.0275330602518	30.1104026871881	25.0766058142306	34.1418990756402	20.048987655079	42.2168154415037	6.00439882750478	29.1031482864402	28.0961415204583	35.1503934793561	17.0353762377124	20.048987655079	0	18.0396670359275	6.00439882750478	31.1179048445245	0	40.1965934523377	21.0540177177831	46.2602511104364	23.0648179545339	12.0176125328898	23.0648179545339	36.1591362501238	3.00109916954915	6.00439882750478	10.0122269359159	1.00012209018435	67.5540235386734	22.0592944438992	20.048987655079	59.4290518687863	25.0766058142306	14.0239804397716	0	1.00012209018435	3.00109916954915	22.0592944438992	20.048987655079	8.00782268745052	37.1681275103067	54.3591168236642	41.2065798956254	20.048987655079	2.00048844025395	28.0961415204583	22.0592944438992	1.00012209018435	47.2717340146999	53.3458824338344
AI607873	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	7.00598826885697	1.00012209018435	0	1.00012209018435	0	6.00439882750478	0	0	0	0	0	0	0	0	1.00012209018435
AI838599	2.00048844025395	0	4.00195439749781	4.00195439749781	2.00048844025395	2.00048844025395	3.00109916954915	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	0	1.00012209018435	6.00439882750478	5.00305424361532	0	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	0	3.00109916954915	1.00012209018435	1.00012209018435	0	4.00195439749781	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	3.00109916954915	3.00109916954915	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	0	0	3.00109916954915	4.00195439749781	1.00012209018435	4.00195439749781	0	1.00012209018435	3.00109916954915	0	0	5.00305424361532
AU020206	0	0	0	0	0	4.00195439749781	0	5.00305424361532	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0
AW549877	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	7.00598826885697	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0
Aamp	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0
Abca8a	0	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	2.00048844025395	0	2.00048844025395	0	0	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	2.00048844025395	0	0	0	0	0	0	0	0	0
Abcc9	0	0	0	0	1.00012209018435	3.00109916954915	4.00195439749781	0	0	5.00305424361532	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	3.00109916954915	0	0	0	2.00048844025395	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	0	4.00195439749781	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0
Abhd2	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
