GENEID	X2	X3	X4	X6	X7	X9	X10	X13	X18	X20	X21	X23	X25	X32	X33	X35	X37	X39	X40	X41	X42	X46	X50	X58	X60	X62	X63	X65	X66	X67	X69	X70	X71	X72	X73	X74	X78	X81	X83	X84	X85	X88	X89	X91	X93	X94	X95
1700025G04Rik	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0
1810011O10Rik	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	1.00012209018435	0	0	3.00109916954915	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	1.00012209018435	4.00195439749781	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	3.00109916954915
2810417H13Rik	0	0	0	0	0	9.00990220315199	2.00048844025395	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933411E06Rik	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	5.00305424361532	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	21.0540177177831	6.00439882750478	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	8.00782268745052
9930111J21Rik1	2.00048844025395	6.00439882750478	6.00439882750478	1.00012209018435	0	2.00048844025395	10.0122269359159	0	7.00598826885697	1.00012209018435	20.048987655079	2.00048844025395	4.00195439749781	2.00048844025395	4.00195439749781	6.00439882750478	4.00195439749781	2.00048844025395	2.00048844025395	5.00305424361532	1.00012209018435	8.00782268745052	4.00195439749781	4.00195439749781	4.00195439749781	9.00990220315199	1.00012209018435	8.00782268745052	4.00195439749781	10.0122269359159	0	0	28.0961415204583	2.00048844025395	2.00048844025395	1.00012209018435	0	7.00598826885697	3.00109916954915	8.00782268745052	0	3.00109916954915	9.00990220315199	1.00012209018435	8.00782268745052	0	1.00012209018435
A430073D23Rik	8.00782268745052	13.0206736374495	52.332898627509	0	1.00012209018435	7.00598826885697	32.1256548803621	0	20.048987655079	3.00109916954915	61.4587843186464	4.00195439749781	6.00439882750478	7.00598826885697	6.00439882750478	18.0396670359275	10.0122269359159	0	11.0147970057849	24.0705883708827	10.0122269359159	11.0147970057849	28.0961415204583	34.1418990756402	17.0353762377124	27.0893822675098	0	26.0828704059517	5.00305424361532	21.0540177177831	0	0	82.8319226390948	2.00048844025395	4.00195439749781	0	1.00012209018435	33.1336529167031	31.1179048445245	29.1031482864402	1.00012209018435	4.00195439749781	20.048987655079	10.0122269359159	39.186855988824	3.00109916954915	7.00598826885697
AI838599	0	0	3.00109916954915	0	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	3.00109916954915	4.00195439749781	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	0	2.00048844025395	0	3.00109916954915	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	1.00012209018435	5.00305424361532	0	0	2.00048844025395	2.00048844025395	0	1.00012209018435	0	0
Aamp	3.00109916954915	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0
Abca1	2.00048844025395	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	2.00048844025395	5.00305424361532	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	2.00048844025395	2.00048844025395	3.00109916954915	0	0	3.00109916954915	1.00012209018435	6.00439882750478
Abca8a	7.00598826885697	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	6.00439882750478	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0
Abcc9	3.00109916954915	0	9.00990220315199	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0
Abcg2	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	0	1.00012209018435	6.00439882750478	0	0	0	0	4.00195439749781	0	3.00109916954915	0	5.00305424361532	0	4.00195439749781	0	0	1.00012209018435	1.00012209018435	4.00195439749781	0	8.00782268745052	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	0
Abi3bp	6.00439882750478	1.00012209018435	4.00195439749781	0	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0
Ablim1	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	3.00109916954915	0	0	0	2.00048844025395	1.00012209018435	5.00305424361532	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435	8.00782268745052
Ace	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	0	0	0	2.00048844025395
Ackr1	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
Ackr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0147970057849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	4.00195439749781	0	0	0	0	0	0	0	0	0
Aco2	0	0	0	0	0	7.00598826885697	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	0	3.00109916954915	1.00012209018435	0	1.00012209018435
