GENEID	X98	X99	X100	X104	X105	X107	X112	X113	X114	X116	X118	X121	X123	X129	X131	X135	X136	X137	X138	X139	X140	X141	X146	X151	X152	X153	X154	X158	X159	X160	X161	X162	X163	X168	X169	X170	X174	X175	X181	X184	X185	X186	X187	X189	X192
1810011O10Rik	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0
4930453N24Rik	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
6430548M08Rik	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0147970057849	4.00195439749781	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	0	0	0	11.0147970057849	0	0	0	5.00305424361532	0	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	0
9930111J21Rik1	11.0147970057849	21.0540177177831	12.0176125328898	0	0	5.00305424361532	3.00109916954915	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	4.00195439749781	14.0239804397716	6.00439882750478	3.00109916954915	6.00439882750478	2.00048844025395	0	6.00439882750478	1.00012209018435	5.00305424361532	8.00782268745052	0	8.00782268745052	12.0176125328898	1.00012209018435	8.00782268745052	0	6.00439882750478	12.0176125328898	8.00782268745052	7.00598826885697	2.00048844025395	20.048987655079	0	8.00782268745052	0	0	6.00439882750478	2.00048844025395	4.00195439749781
A430073D23Rik	37.1681275103067	75.6951442311975	11.0147970057849	0	1.00012209018435	13.0206736374495	21.0540177177831	5.00305424361532	2.00048844025395	0	4.00195439749781	0	0	2.00048844025395	0	12.0176125328898	47.2717340146999	18.0396670359275	9.00990220315199	12.0176125328898	4.00195439749781	2.00048844025395	11.0147970057849	16.0313316193744	12.0176125328898	19.0442041347699	0	19.0442041347699	33.1336529167031	1.00012209018435	28.0961415204583	0	4.00195439749781	21.0540177177831	22.0592944438992	15.0275330602518	5.00305424361532	41.2065798956254	5.00305424361532	22.0592944438992	1.00012209018435	0	8.00782268745052	3.00109916954915	8.00782268745052
AI506816	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	7.00598826885697	0	1.00012209018435	0	0	1.00012209018435	0	0
AI607873	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	9.00990220315199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0
AI838599	5.00305424361532	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	4.00195439749781	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	4.00195439749781	0	2.00048844025395	0	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	0	3.00109916954915	0	0	0	0	3.00109916954915
AW551984	0	0	0	0	0	0	0	0	11.0147970057849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0
