"Cluster"	"GENEID"	"mean.ncl"	"mean.cl"	"fc"	"pv"	"padj"	"Ensembl ID"	"GNF GeneAtlas Specificity"	"calculated FPKMs"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"CuffDiff FPKMs"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"
"1"	"1"	"Adam12"	0.788098731187292	1.19626478535006	1.51791233510534	0.0041765664226065	0.0160335694178773	"ENSMUSG00000054555"	"TRE"	"0.573593474"	"7.064117684"	"1.485530031"	"10.2022301"	"19.08743798"	"11.75397027"	"19.11810574"	"0.782687"	"7.23074"	"1.42975"	"10.3552"	"19.2457"	"11.7888"	"19.7737"
"2"	"1"	"Adcyap1r1"	0.171754099218401	0.421206992424507	2.45238392761097	4.63712148363099e-05	0.000366292506819382	"ENSMUSG00000029778"	"TRE"	"0.042219314"	"2.586167655"	"0.05354024"	"3.812727667"	"0.553512014"	"3.389894194"	"0.47533939"	"0.0359039"	"3.05587"	"0.0441728"	"4.70646"	"0.696776"	"4.15735"	"0.634193"
"3"	"1"	"Adra2a"	0.850058933366077	0.3292667783163	0.387345824380039	9.31318559264169e-06	9.05228429412443e-05	"ENSMUSG00000033717"	"TRE"	"0.068527181"	"1.428233979"	"4.854145793"	"1.592639501"	"0.89521121"	"1.788727361"	"1.300321685"	"0.0721736"	"1.45446"	"4.75683"	"1.61903"	"0.850049"	"1.76573"	"1.27129"
"4"	"1"	"Agtr2"	1.03819869801041	4.83335479729641	4.65551999492871	1.09402509683766e-53	3.33191421159113e-51	"ENSMUSG00000068122"	"TRE"	"0.016529078"	"1.462661677"	"0.00650092"	"2.080673463"	"0.008709747"	"0.82050037"	"0.004228904"	"0.017299"	"1.41582"	"0.00637194"	"2.06243"	"0.00743094"	"0.78691"	"0.00411864"
"5"	"1"	"AI607873"	0.193039403194809	0.510059289739251	2.64225480030373	2.38192919520024e-06	2.69787930745614e-05	"ENSMUSG00000073490"	"TRE"	"0.228731718"	"1.798288223"	"2.599197856"	"2.322060364"	"2.684881907"	"2.094248837"	"3.013671394"	"0.0712797"	"0.328707"	"0.507627"	"0.494607"	"0.321379"	"0.342504"	"0.293569"
"6"	"1"	"Apold1"	1.68067827714415	0.297678470306022	0.177118056652607	2.54486179682691e-17	1.48414174151119e-15	"ENSMUSG00000090698"	"TRE"	"0.400547035"	"0.869404042"	"0.180511929"	"0.921939675"	"0.232334321"	"0.56543957"	"0.231651322"	"0.3994"	"0.856845"	"0.152104"	"0.916343"	"0.20012"	"0.541871"	"0.210747"
"7"	"1"	"Arid5a"	0.344985620204349	0.694793938412126	2.01397941746259	0.000107968918507885	0.000756886970921004	"ENSMUSG00000037447"	"TRE"	"2.843897841"	"7.709896435"	"5.745374969"	"7.699606798"	"11.94041436"	"7.796721393"	"12.23810126"	"6.5167"	"19.6801"	"12.7621"	"19.6694"	"29.3768"	"19.7972"	"29.8013"
"8"	"1"	"Baiap2"	0.157848448466979	0.380344828167455	2.40955696341241	8.39475660407024e-05	0.000611968825844589	"ENSMUSG00000025372"	"TRE"	"23.08533522"	"12.59919684"	"5.956891285"	"11.87358334"	"11.14033005"	"15.62277185"	"11.99555918"	"32.9498"	"17.7161"	"8.19763"	"16.6737"	"15.1051"	"21.4092"	"16.3151"
"9"	"1"	"Bmper"	0.119560397410241	0.333000530955095	2.78520762868065	2.735746238848e-05	0.000234333763771324	"ENSMUSG00000031963"	"TRE"	"0.466395399"	"1.75054591"	"0.227886117"	"2.199187964"	"2.024127511"	"1.730475829"	"2.24375952"	"0.444923"	"1.66131"	"0.203774"	"2.05235"	"1.81928"	"1.58826"	"2.01796"
"10"	"1"	"Bst1"	0.356862876261903	0.150959023536842	0.423016888498239	0.00323093623257464	0.0131005861146259	"ENSMUSG00000029082"	"TRE"	"0.195614681"	"5.309492532"	"0.648254099"	"5.57818143"	"8.36062448"	"6.59339783"	"8.338126761"	"0.182168"	"4.69487"	"0.541216"	"4.97553"	"6.8637"	"5.52827"	"7.05395"
"11"	"1"	"Capn6"	0.211878745166854	1.31395824234202	6.20146320626584	2.28723084051573e-30	3.13464986692681e-28	"ENSMUSG00000067276"	"TRE"	"1.439359948"	"2.038847295"	"3.067327195"	"1.418469457"	"0.199253925"	"0.801744279"	"0.156930368"	"1.28572"	"1.78453"	"2.67721"	"1.22553"	"0.0361829"	"0.627118"	"0.0496576"
"12"	"1"	"Ccl19"	3.71289916039332	2.07391186210988	0.558569401569793	2.97560998657271e-06	3.28876894080476e-05	"ENSMUSG00000071005"	"TRE"	"3.130123931"	"146.6270143"	"118.9185786"	"187.9108248"	"156.1911254"	"169.6996203"	"153.5389457"	"0.0762319"	"2.28819"	"4.23107"	"3.07375"	"3.21336"	"2.43586"	"2.84528"
"13"	"1"	"Cd248"	0.24966321707714	0.54093262280875	2.1666492531081	9.6636358198447e-05	0.000691593362459382	"ENSMUSG00000056481"	"TRE"	"0.101746803"	"1.191017827"	"0.045853069"	"1.69334497"	"0.005584785"	"1.13493547"	"0.005423239"	"0.108004"	"1.20905"	"0.0448722"	"1.72484"	"0.00625436"	"1.12158"	"0.00533317"
"14"	"1"	"Cd300lg"	0.318710545984152	0.1	0.313764327098773	0.000226923987629461	0.00141292690800408	"ENSMUSG00000017309"	"TRE"	"0.242371189"	"0.710727352"	"0.184832743"	"0.748209958"	"0.147055958"	"0.400145222"	"0.08735041"	"0.255977"	"0.728538"	"0.150282"	"0.832456"	"0.101092"	"0.447354"	"0.063379"
"15"	"1"	"Cdh5"	0.329056375047502	0.103551778526502	0.3146931236678	0.0004403505356182	0.00242369642194676	"ENSMUSG00000031871"	"TRE"	"0.716090561"	"0.938170342"	"0.165985476"	"1.356687663"	"0.082496774"	"0.746616199"	"0.118424156"	"0.702297"	"0.861707"	"0.142086"	"1.26515"	"0.0797607"	"0.650454"	"0.102196"
"16"	"1"	"Ch25h"	0.602325190170527	0.1	0.16602327385924	8.23919905174294e-10	1.93022603425875e-08	"ENSMUSG00000050370"	"TRE"	"2.652953676"	"23.37216864"	"36.59056409"	"4.459838603"	"2.509926489"	"2.823094547"	"0.668464372"	"2.70778"	"24.2713"	"35.7795"	"4.53939"	"2.5764"	"2.78326"	"0.654539"
"17"	"1"	"Chpf"	0.152207161744058	0.364384580425342	2.39400417332575	0.000157523287570777	0.00103542285667027	"ENSMUSG00000032997"	"TRE"	"10.02098548"	"7.106557951"	"8.698643598"	"6.798230303"	"7.835755482"	"8.475828682"	"7.858012875"	"10.9513"	"7.57245"	"8.96341"	"7.28563"	"8.04594"	"8.82416"	"8.06891"
"18"	"1"	"Cldn11"	0.242655300795097	0.1	0.412107214111272	0.00726648969308694	0.0254373540852507	"ENSMUSG00000037625"	"TRE"	"0.364905381"	"1.261709952"	"0.821756447"	"1.501930462"	"0.038766404"	"0.599626915"	"0.045174048"	"0.357923"	"1.19569"	"0.774229"	"1.44292"	"0.0305955"	"0.567917"	"0.0367348"
"19"	"1"	"Cldn5"	0.434775463286107	0.109678164458962	0.25226392407243	4.60626963397069e-06	4.74653573936604e-05	"ENSMUSG00000041378"	"TRE"	"0.307015341"	"1.284763031"	"0.083015458"	"1.052882046"	"0.030333203"	"0.590640361"	"0.049092966"	"0.328949"	"1.30821"	"0.0809822"	"1.06312"	"0.0285763"	"0.575926"	"0.0480917"
"20"	"1"	"Clec14a"	0.501344297646305	0.105695251229671	0.210823682897932	2.01681298375339e-07	2.89428502014034e-06	"ENSMUSG00000045930"	"TRE"	"0.047821072"	"0.079578375"	"0.089338593"	"0.103704713"	"0.018898942"	"0.051830332"	"0.006117423"	"0.0514753"	"0.0810122"	"0.0872452"	"0.104927"	"0.0169642"	"0.0511953"	"0.00598687"
"21"	"1"	"Cmah"	0.586305797199096	0.252010545823377	0.429827825389556	0.000362503343807937	0.00206574150806145	"ENSMUSG00000016756"	"TRE"	"5.52104657"	"11.3566944"	"6.588649297"	"11.00693483"	"12.06014196"	"8.438234011"	"11.30995646"	"5.65522"	"11.3646"	"5.96663"	"10.6633"	"10.7307"	"7.57462"	"10.1803"
"22"	"1"	"Col11a1"	0.167923114324636	0.35250903991505	2.09922881273846	0.0012499061105913	0.0057773906393436	"ENSMUSG00000027966"	"TRE"	"0.009714955"	"1.02161537"	"0.04503217"	"0.78391955"	"0.007313069"	"0.448253503"	"0"	"0.0165386"	"0.850067"	"0.0631418"	"0.659493"	"0.0080924"	"0.37031"	"0"
"23"	"1"	"Csf2rb"	1.77706319892471	0.153937462090569	0.0866246412528916	3.5497444053693e-25	3.60364793152491e-23	"ENSMUSG00000071713"	"TRE"	"0.429351809"	"38.68131468"	"19.1939469"	"38.89959072"	"34.8535784"	"48.69322803"	"41.33185312"	"0.375039"	"31.9365"	"15.1494"	"31.1208"	"26.4716"	"37.4945"	"31.0758"
"24"	"1"	"Cxcl10"	4.76412348483389	7.61784162540867	1.59900171556411	4.51937987986223e-08	7.64667916710022e-07	"ENSMUSG00000034855"	"TRE"	"463.4500557"	"297.7347505"	"186.8439221"	"300.8862164"	"451.0010294"	"293.8793123"	"443.4767012"	"569.951"	"366.16"	"220.659"	"360.552"	"519.948"	"347.85"	"516.972"
"25"	"1"	"Cxcl2"	1.33427815936476	0.444479593305703	0.333123637066291	6.20570151237744e-09	1.28862332162322e-07	"ENSMUSG00000058427"	"TRE"	"0.364731709"	"18.13287848"	"4.493008558"	"34.41386935"	"16.92598798"	"43.74446707"	"20.37762638"	"0.430236"	"26.415"	"5.32646"	"48.1716"	"23.0462"	"60.7559"	"27.2206"
"26"	"1"	"Cxcl5"	0.61142565494993	1.1410085382416	1.86614436114075	3.41185068317543e-05	0.000283390385532844	"ENSMUSG00000029371"	"TRE"	"0.480739015"	"5.392274692"	"2.708833277"	"5.515765935"	"0.626305272"	"4.732871318"	"1.101451848"	"0.375603"	"5.26575"	"2.40519"	"5.18337"	"0.508962"	"4.38715"	"0.904933"
"27"	"1"	"Cyr61"	4.55985932240942	1.94303475565688	0.426117258948722	6.65274975887059e-12	2.12037059175166e-10	"ENSMUSG00000028195"	"TRE"	"58.6586039"	"43.37492298"	"154.1228792"	"17.65642666"	"19.92281175"	"15.21983911"	"12.97983163"	"55.4082"	"41.92"	"139.186"	"16.5534"	"18.2441"	"13.7449"	"11.6377"
"28"	"1"	"Dlk1"	2.54867035540194	18.2569557595722	7.16332566150674	0	0	"ENSMUSG00000040856"	"TRE"	"0.083709178"	"7.317494074"	"1.881586683"	"8.372634787"	"0.089757262"	"5.887776781"	"0.124515613"	"0.38862"	"33.6122"	"8.64556"	"39.3727"	"0.357095"	"25.8184"	"0.573849"
"29"	"1"	"Dsc3"	1.25171350861369	0.531968336101282	0.42499208679984	3.1085038320501e-06	3.40816360145973e-05	"ENSMUSG00000059898"	"TRE"	"93.90638858"	"11.40638746"	"41.61152795"	"12.68265655"	"14.29437628"	"10.78411911"	"13.30977138"	"92.0831"	"11.2781"	"38.7911"	"12.3352"	"13.5006"	"10.2397"	"12.8161"
"30"	"1"	"Dusp2"	0.32669378935026	0.106751086462372	0.326761909599452	0.000150087172605438	0.000998516844930839	"ENSMUSG00000027368"	"TRE"	"1.161142653"	"4.723840235"	"0.343169764"	"5.483593087"	"1.158264379"	"5.86326068"	"1.493956338"	"1.13187"	"4.52043"	"0.310938"	"5.2215"	"1.07689"	"5.39517"	"1.35272"
"31"	"1"	"Eln"	2.0803096759264	1.07345038293424	0.516005090663348	1.24434793012819e-05	0.000117612333671772	"ENSMUSG00000029675"	"TRE"	"10.26475219"	"27.36746639"	"23.91636662"	"9.73479293"	"2.911439113"	"7.422963321"	"0.892241375"	"6.86658"	"17.9006"	"14.9184"	"6.35228"	"1.85422"	"4.68236"	"0.562515"
"32"	"1"	"F8"	0.278347824067636	0.1	0.359262733003082	0.00122988026951556	0.00570070284028033	"ENSMUSG00000031196"	"TRE"	"0.817583761"	"1.731133278"	"0.842226889"	"2.182175815"	"1.447314673"	"1.820914473"	"1.425992303"	"1.25732"	"2.49498"	"1.22851"	"2.89978"	"1.76371"	"2.49516"	"2.11394"
"33"	"1"	"Fbn2"	1.47422234189334	2.52036216204626	1.7096214664671	5.72771850007652e-06	5.83631093260586e-05	"ENSMUSG00000024598"	"TRE"	"1.525615731"	"2.027329628"	"1.948093561"	"0.444046262"	"0.718939153"	"0.226158691"	"0.185744062"	"1.32494"	"1.70057"	"1.57924"	"0.378763"	"0.584899"	"0.175297"	"0.142526"
"34"	"1"	"Fosl1"	0.302293680767994	0.589104347972886	1.94878155069677	0.000369509986937042	0.00209261750866618	"ENSMUSG00000024912"	"TRE"	"2.466878158"	"1.851525848"	"1.112761711"	"1.058133939"	"0.912934042"	"1.38508593"	"1.065458286"	"1.09432"	"0.912729"	"0.142129"	"0.340749"	"0.303287"	"0.502039"	"0.359752"
"35"	"1"	"Gem"	2.36957395046659	1.1280852447473	0.47607091752725	3.82137546076763e-07	5.0357644894058e-06	"ENSMUSG00000028214"	"TRE"	"20.15334646"	"49.77088366"	"95.03203161"	"49.67717562"	"53.55957468"	"38.08404636"	"45.08175339"	"19.6493"	"49.2138"	"89.2522"	"48.4079"	"49.6883"	"35.5068"	"41.9546"
"36"	"1"	"Gja4"	0.314434019719124	0.13510172827365	0.429666384045635	0.00328438000356579	0.0132780023447991	"ENSMUSG00000050234"	"TRE"	"0.418661424"	"33.21407726"	"23.64459845"	"43.23528996"	"57.63789798"	"43.55412185"	"57.91516725"	"0.431759"	"33.7209"	"22.9539"	"43.6137"	"56.2823"	"42.5298"	"56.1364"
"37"	"1"	"Glycam1"	0.926648295069108	0.115598697837118	0.12474926943938	6.41866464828371e-15	2.74899371889776e-13	"ENSMUSG00000022491"	"TRE"	"0.034729575"	"1.63180232"	"0.034148031"	"1.856590266"	"0.38887975"	"1.072775928"	"0.533126047"	"0.0377287"	"1.30256"	"0.0340532"	"1.44523"	"0.283009"	"0.91124"	"0.413366"
"38"	"1"	"Gpc3"	0.33151962110771	1.68276535938513	5.07591482447553	5.9959278869089e-30	7.82611349429395e-28	"ENSMUSG00000055653"	"TRE"	"5.426944331"	"6.784958724"	"1.832759115"	"6.348687477"	"3.44936253"	"4.998136721"	"2.82830965"	"6.02649"	"7.40321"	"1.86465"	"6.90522"	"3.51098"	"5.14756"	"2.91198"
"39"	"1"	"Grem1"	1.75338127822558	1.01078708364115	0.576478770586664	0.000391716573351698	0.00219569555737629	"ENSMUSG00000074934"	"TRE"	"0.363390336"	"9.568681181"	"2.529790265"	"13.39330923"	"14.69118223"	"17.81115873"	"18.70096064"	"0.173828"	"9.45964"	"2.26974"	"13.3157"	"13.3672"	"16.9599"	"17.4788"
"40"	"1"	"Gypa"	0.311969627214607	0.1	0.320544025047698	0.000367156495958683	0.00208791691996421	"ENSMUSG00000051839"	"TRE"	"0.065343687"	"0.209334247"	"0.023363459"	"0.287602669"	"0.046952544"	"0.148082409"	"0"	"0.0557172"	"0.174449"	"0.0172746"	"0.237629"	"0.0333823"	"0.133614"	"0"
"41"	"1"	"Has1"	0.158260602293575	0.313582669656106	1.98143230286972	0.00274132160826346	0.0114325204095757	"ENSMUSG00000003665"	"TRE"	"0.051928193"	"2.21115558"	"0.020423464"	"2.796953153"	"0.047884855"	"2.172477063"	"0.006642819"	"0.0466404"	"2.0191"	"0.0151008"	"2.58587"	"0.0404914"	"2.01428"	"0.00653249"
"42"	"1"	"Has2"	0.465225807157821	1.20110454459822	2.58176680252555	3.67010567221861e-10	9.06284652932541e-09	"ENSMUSG00000022367"	"TRE"	"0.254535269"	"21.99423446"	"5.008852861"	"20.42063005"	"31.50899586"	"20.27340799"	"32.99081985"	"0.250346"	"21.9621"	"4.72508"	"20.0879"	"29.4625"	"19.2601"	"31.0118"
"43"	"1"	"Hbegf"	0.279621952316949	0.111760859719857	0.399685571157077	0.00346214963280741	0.0138267697138979	"ENSMUSG00000024486"	"TRE"	"0.297279604"	"4.799250045"	"1.91120329"	"4.640774475"	"2.397903814"	"4.595112805"	"2.837544474"	"0.276769"	"4.59998"	"1.72722"	"4.36299"	"2.19307"	"4.19092"	"2.55407"
"44"	"1"	"Hmbs"	0.350551935698662	0.141123439408222	0.402574982582705	0.00166319848536459	0.00744906380454958	"ENSMUSG00000032126"	"TRE"	"15.68272849"	"19.68564942"	"12.8298337"	"22.6048323"	"25.2703407"	"20.94532398"	"24.30995283"	"13.5669"	"16.2937"	"10.2067"	"18.7572"	"20.2228"	"16.9904"	"19.6811"
"45"	"1"	"Hmgcs2"	2.17885950115003	1.17232985490159	0.538047475884892	2.64215919781343e-05	0.000227026907874815	"ENSMUSG00000027875"	"TRE"	"0.676250281"	"5.45088682"	"1.038646973"	"7.6262131"	"0.845510418"	"5.781932982"	"1.259220059"	"0.683371"	"5.28266"	"0.960414"	"7.10116"	"0.778422"	"5.38561"	"1.15699"
"46"	"1"	"Igf2"	2.12144054954752	11.9556784247762	5.6356415112958	0	0	"ENSMUSG00000048583"	"TRE"	"0.345216281"	"9.416493074"	"1.706631554"	"8.055149456"	"0.679270145"	"9.266822762"	"1.0543376"	"0.592261"	"15.6428"	"2.71754"	"13.8963"	"1.26947"	"17.7149"	"2.03959"
"47"	"1"	"Ildr2"	0.50988839470889	0.11129410539632	0.218271501276002	5.61622428646846e-07	7.12688461537502e-06	"ENSMUSG00000040612"	"TRE"	"0.109391231"	"0.394043983"	"0.042783325"	"0.268786197"	"0.051334998"	"0.169244068"	"0.046728324"	"0.104274"	"0.402914"	"0.03523"	"0.279014"	"0.0390858"	"0.167562"	"0.0362759"
"48"	"1"	"Kcne4"	0.88583790948232	0.279024392611986	0.314983576143233	1.3450781729299e-07	2.01467719781468e-06	"ENSMUSG00000047330"	"TRE"	"1.210257194"	"0.333594853"	"0.073031971"	"0.383405097"	"0.063312217"	"0.336217983"	"0.078248338"	"1.348"	"0.355799"	"0.0629128"	"0.440229"	"0.0609843"	"0.361146"	"0.0776275"
"49"	"1"	"Kcnj8"	0.557757991145276	0.243107990063819	0.435866440146616	0.000543598741886847	0.0028876049447904	"ENSMUSG00000030247"	"TRE"	"0.14384679"	"0.223350457"	"0.024385877"	"0.290182286"	"0"	"0.0913936"	"0.006345288"	"0.155283"	"0.220942"	"0.023486"	"0.290197"	"0"	"0.0904402"	"0.0062399"
