Supplementary Table 2. Expression of genes in TEC and dynamic step tissue specificity calls.																
																
Ensembl ID	Gene Symbol	GNF GeneAtlas Specificity	calculated FPKMs							CuffDiff FPKMs						
			cTEC	mTEC	immature mTEC	mature mTEC	Aire neg mTEC	Aire pos mTEC	Aire ko mTEC	cTEC	mTEC	immature mTEC	mature mTEC	Aire neg mTEC	Aire pos mTEC	Aire knockout mTEC
ENSMUSG00000000125	Wnt3	not detected	0.176414049	2.172404255	0.294882016	2.946688492	3.090877113	3.782022793	2.942794539	0.176966	2.06567	0.285986	2.80837	2.78887	3.50451	2.68491
ENSMUSG00000000182	Fgf23	not detected	0.152630598	6.65638144	0.289578653	6.478257364	0.099081772	3.94403892	0.068954595	0.141161	6.4019	0.269698	6.05926	0.0756516	3.66726	0.045086
ENSMUSG00000000202	Btbd17	not detected	0	1.744838131	0.292107868	1.938177331	0.1082479	1.507185013	0.097030803	0	1.69297	0.266765	1.88833	0.101238	1.40882	0.087085
ENSMUSG00000000359	Rem1	not detected	0.04568307	3.641320758	1.905811278	4.15691675	5.261451816	4.166172299	4.787842437	0.0891455	3.63839	1.98357	4.37695	5.81731	4.68603	5.37083
ENSMUSG00000000435	Myf5	not detected	0	0.086703371	0.005123024	0.120872857	0	0.10729476	0.006665142	0	0.0879201	0.00510879	0.117786	0	0.106096	0.00649136
ENSMUSG00000000606	Vmn2r88	not detected	0.019721058	0.086121289	0.00617318	0.125507793	0.002620281	0.050074909	0.003728165	0.0200914	0.0592021	0	0.0925611	0	0.0330903	0
ENSMUSG00000000731	Aire	not detected	1.67442967	505.2595582	31.39982399	684.5547519	2.109884516	522.4747038	39.25059137	1.44099	405.641	24.2284	545.987	1.48569	406.078	26.7205
ENSMUSG00000000766	Oprm1	not detected	0.018118542	0.255885471	0.057251468	0.235148998	0.274870897	0.246992458	0.261767493	0.0291568	0.46836	0.158871	0.521574	0.419792	0.53283	0.386279
ENSMUSG00000000791	Il12rb1	not detected	1.68102387	2.987803731	2.176595277	4.610414428	13.16741848	6.91525509	15.69564153	1.43657	2.56428	1.78771	3.96452	10.726	5.75212	12.8853
ENSMUSG00000000794	Kcnn3	not detected	15.33903687	3.672622011	5.676044557	2.588685791	3.228662986	1.893229604	2.137402883	12.8702	3.23017	4.77144	2.24893	2.64885	1.56359	1.80351
ENSMUSG00000001021	S100a3	not detected	14.23693092	51.08931654	13.17420976	61.40705762	109.9587693	82.09244384	106.1541066	13.4242	46.8813	11.5703	56.5793	96.3615	73.5722	94.4232
ENSMUSG00000001103	Sebox	not detected	0.015995567	0.7437382	0.031455445	0.790562936	0.031607332	0.277385856	0.010231018	0.0173085	0.767104	0.0324632	0.720898	0.0299533	0.259345	0.010502
ENSMUSG00000001168	Oas1h	not detected	0.327425446	9.145237083	1.581017334	12.84084098	0.146584158	8.399447679	0.150391291	0.30663	10.0181	1.24944	13.8181	0.122072	8.70159	0.0904429
ENSMUSG00000001496	Nkx2-1	not detected	0.047931032	0.863136294	0.097307576	0.671043979	0.177834323	0.564422202	0.138628718	0.00378214	0.764042	0.0294182	0.588261	0.0468434	0.43122	0.00482094
ENSMUSG00000001510	Dlx3	not detected	0.941799906	8.365620054	0.86234157	8.428098657	3.656943485	8.622553658	4.13368373	0.945955	8.31481	0.804124	8.29538	3.41187	8.28058	3.87251
ENSMUSG00000001566	Mnx1	not detected	0	0.32403482	0.009299573	0.243263924	0.006229651	0.246021311	0.030247257	0	0.341398	0.0101858	0.243158	0.0060445	0.233447	0.0335674
ENSMUSG00000001655	Hoxc13	not detected	0	0.630256847	0.082386809	0.346955048	0.023237789	0.210307734	0.033848413	0	0.636246	0.0765022	0.352964	0.0229249	0.208012	0.0331261
ENSMUSG00000001802	Lrp3	not detected	1.112539165	0.550245092	1.062662018	0.486396291	0.312416078	0.500778981	0.245781004	1.25798	0.566261	1.13193	0.482413	0.199178	0.446211	0.153325
ENSMUSG00000001815	Evx2	not detected	0.002414996	0.128245757	0.002374557	0.126666129	0	0.070671592	0	0.00238606	0.142516	0.002623	0.132138	0	0.0726004	0
ENSMUSG00000001823	Hoxd12	not detected	0	0.060846008	0	0.05015751	0	0.022456842	0	0	0.0581522	0	0.0465751	0	0.0222161	0
ENSMUSG00000001988	Npas1	not detected	0.140139069	1.722352326	0.163309571	1.884684632	0.095723909	1.215105257	0.106234267	0.127584	1.49305	0.129012	1.59103	0.0711008	0.973699	0.0843162
ENSMUSG00000002057	Foxn1	not detected	119.2242064	49.23956584	21.62902018	54.02414586	74.35915346	58.45411687	74.36064991	115.201	46.6667	19.5732	50.4857	66.8156	53.3383	67.2724
ENSMUSG00000002384	Bmp8b	not detected	0.051897714	0.565593263	0.033667633	0.632159126	0.163070654	0.345289661	0.098861823	0.030614	0.444421	0.0217176	0.529835	0.117991	0.261023	0.0693895
ENSMUSG00000002664	Pspn	not detected	0.52662199	0.627561107	1.283252758	0.762124318	0.693738695	0.595589567	0.790831754	0.443006	0.473614	1.04058	0.683175	0.535615	0.466545	0.573577
ENSMUSG00000003070	Efna2	not detected	0.596889097	1.615866252	1.27694568	1.335611407	1.127125451	1.09845889	0.983766828	0.565667	1.51005	1.15852	1.25455	1.01356	1.02084	0.911487
ENSMUSG00000003227	Edar	not detected	7.931606698	4.641484737	10.18420201	1.775819955	1.812191333	1.057593159	0.877977147	7.42295	4.31607	9.09343	1.66653	1.60007	0.929929	0.776727
ENSMUSG00000003233	Dvl3	not detected	24.69006148	13.66904794	19.02878755	10.87483131	15.52027069	14.96704604	15.54341822	22.0099	12.1102	16.3925	9.78119	13.3692	12.9727	13.4948
